"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","Frontière (Côte d'Ivoire)","Border (Côte d'Ivoire)",,,,,
"02","La Leraba","La Leraba",,,,,
"03","Kaourora","Kaourora",,,,,
"04","Yendéré","Yendere",,,,,
"05","Niangoloko","Niangoloko",,,,,
"06","Diarabakoko","Diarabakoko",,,,,
"07","Banfora","Banfora",,,,,
"08","Bérégadougou","Beregadougou",,,,,
"09","Toussiana","Toussiana",,,,,
"0a","Péni","Peni",,,,,
"0b","Darsalamy","Darsalamy",,,,,
"0c","Bobo-Dioulasso","Bobo-Dioulasso",,,,,
"0d","Dafinso","Dafinso",,,,,
"0e","Kouentou","Kouentou",,,,,
"0f","Dorossiamasso","Dorossiamasso",,,,,
"0g","Maro","Maro",,,,,
"0h","Béréba","Bereba",,,,,
"0i","Grand Balé","Grand Bale",,,,,
"0j","Bagassi","Bagassi",,,,,
"0k","Yaramoko","Yaramoko",,,,,
"0l","Pompoï","Pompoi",,,,,
"0m","Siby","Siby",,,,,
"0n","La Volta","La Volta",,,,,
"0o","Zamo","Zamo",,,,,
"0p","Batondo","Batondo",,,,,
"0q","Koudougou","Koudougou",,,,,
"0r","Saria","Saria",,,,,
"0s","Niakado","Niakado",,,,,
"0t","Bingo","Bingo",,,,,
"0u","Dassouri","Dassouri",,,,,
"0v","Ouagadougou","Ouagadougou",,,,,
