"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","磁窑","Ciyao","0","","","",""
"02","华丰","Huafeng","0","","","",""
"03","徂阳","Cuyang","0","","","",""
"04","禹村","Yucun","0","","","",""
"05","宫里","Gongli","0","","","",""
"06","谷里","Guli","0","","","",""
"07","大协","Daxie","0","","","",""
"08","新汶","Xinwen","0","","","",""
"09","东都","Dongdu","0","","","",""
"0a","新泰","Xintai","0","","","",""
"0b","北师店","Beishizhuang","0","","","",""
"0c","莱钢","Laigang","0","","","",""
"0d","颜庄","Yanzhuang","0","","","",""
"0e","莱芜东","Laiwu East","120","","","",""
