"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","南京南","Nanjing South","0","","","",""
"02","浦口","Pukou","30","","","",""
"03","亭子山线路所","Tingzishan Signal Base","40","","","",""
"04","全椒","Quanjiao","56","","","",""
"05","黄庵","Huang'an","0","","","",""
"06","巢北","Chaobei","103","","","",""
"07","肥东","Feidong","135","","","",""
"08","合肥南","Hefei South","157","","","",""
"09","长安集","Chang'anji","183","","","",""
"0a","南分路","Nanfenlu","0","","","",""
"0b","六安","Lu'an","244","","","",""
"0c","独山镇","Dushanzhen","0","","","",""
"0d","金寨","Jinzhai","296","","","",""
"0e","天堂寨","Tiantangzhai","0","","","",""
"0f","墩义堂","Dunyitang","352","","","",""
"0g","三河","Sanhe","0","","","",""
"0h","麻城北","Macheng North","405","","","",""
"0i","红安西","Hong'an West","444","","","",""
"0j","横店东","Hengdian East","489","","","",""
"0k","汉口","Hankou","516","","","",""
"0l","新墩","Xingdun","522","","","",""
"0m","汉川","Hanchuan","562","","","",""
"0n","天门南","Tianmen South","599","","","",""
"0o","仙桃西","Xiantao West","630","","","",""
"0p","潜江","Qianjiang","650","","","",""
"0q","荆州","Jingzhou","720","","","",""
"0r","枝江北","Zhijiang North","764","","","",""
"0s","宜昌东","Yichang East","808","","","",""
"0t","宜昌南","Yichang South","0","","","",""
"0u","长阳","Changyang","870","","","",""
"0v","巴东","Badong","921","","","",""
"0w","高坪","Gaoping","0","","","",""
"0x","建始","Jianshi","987","","","",""
"0y","恩施","Enshi","1022","","","",""
"0z","利川","Lichuan","1083","","","",""
"10","凉雾","Liangwu","1096","","","",""
"11","沙子关","Shaziguan","0","","","",""
"12","石柱县","Shizhuxian","1178","","","",""
"13","丰都","Fengdu","1227","","","",""
"14","涪陵北","Fuling North","1269","","","",""
"15","长寿北","Changshou North","1293","","","",""
"16","复盛","Fusheng","1333","","","",""
"17","双溪","Shuangxi","1339","","","",""
"18","重庆北","Chongqing North","1361","","","",""
