"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","兰州东","Lanzhou East","0","","","",""
"02","夏官营","Xiaguanying","26","","","",""
"03","新窑坡","Xinyaopo","60","","","",""
"04","杨家川","Yangjiachuan","102","","","",""
"05","渭源","Weiyuan","129","","","",""
"06","漳县","Zhangxian","173","","","",""
"07","木寨岭隧道19100m ","Muzhailing Tunnel19100m ","0","","","",""
"08","岷县","Minxian","211","","","",""
"09","哈达铺","Hadapu","236","","","",""
"0a","临江铺","Linjiangpu","275","","","",""
"0b","雅园","Yayuan","317","","","",""
"0c","陇南西","Longnan West","353","","","",""
"0d","陇南","Longnan","365","","","",""
"0e","桔柑","Jiegan","382","","","",""
"0f","枫相院","Fengxiangyuan","423","","","",""
"0g","姚渡","Yaodu","450","","","",""
"0h","羊木","Yangmu","485","","","",""
"0i","广元","Guangyuan","504","","","",""
"0j","太公","Taigong","547","","","",""
"0k","苍溪","Cangxi","586","","","",""
"0l","阆中","Langzhong","610","","","",""
"0m","南部","Nanbu","631","","","",""
"0n","龙桂","Longui","667","","","",""
"0o","南充北","Nanchong North","692","","","",""
"0p","南充南","Nanchong South","725","","","",""
"0q","武胜","Wusheng","749","","","",""
"0r","渭沱","Weituo","789","","","",""
