"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","上海","Shanghai","0","","","",""
"02","上海西","Shanghai West","5","","","",""
"03","封浜","Fengbang","19","","","",""
"04","七宝","Qibao","31","","","",""
"05","李家塘","Lijiatang","0","","","",""
"06","春申","Chunshen","40","","","",""
"07","新桥","Xinqiao","45","","","",""
"08","松江","Songjiang","56","","","",""
"09","石湖荡","Shihudang","0","","","",""
"0a","枫泾","Fengjing","82","","","",""
"0b","嘉善","Jiashan","92","","","",""
"0c","嘉兴东","Jiaxing East","0","","","",""
"0d","嘉兴","Jiaxing","110","","","",""
"0e","马王塘","Mawangtang","0","","","",""
"0f","海宁","Haining","138","","","",""
"0g","斜桥","Xieqiao","0","","","",""
"0h","长安镇","Chang'anzhen","0","","","",""
"0i","临平","Linping","0","","","",""
"0j","乔司","Qiaosi","0","","","",""
"0k","笕桥","Jianqiao","191","","","",""
"0l","杭州东","Hangzhou East","197","","","",""
"0m","盈宁","Yingning","0","","","",""
"0n","杭州南","Hangzhou South","218","","","",""
"0o","萧山","Xiaoshan","233","","","",""
"0p","湄池","Meichi","0","","","",""
"0q","诸暨东","Zhuji East","0","","","",""
"0r","诸暨","Zhuji","290","","","",""
"0s","牌头","Paitou","0","","","",""
"0t","浦江","Pujiang","319","","","",""
"0u","义乌","Yiwu","342","","","",""
"0v","义乌西","Yiwu West","0","","","",""
"0w","塘雅","Tangya","0","","","",""
"0x","东孝","Dongxiao","0","","","",""
"0y","金华东","Jinhua East","0","","","",""
"0z","金华","Jinhua","390","","","",""
"10","白龙桥","Bailongqiao","0","","","",""
"11","蒋堂","Jiangtang","0","","","",""
"12","汤溪","Tangxi","0","","","",""
"13","龙游东","Longyou East","0","","","",""
"14","龙游","Longyou","445","","","",""
"15","衢州东","Quzhou East","0","","","",""
"16","衢州","Quzhou","476","","","",""
"17","后溪街","Houxijie","0","","","",""
"18","江山","Jiangshan","511","","","",""
"19","上铺","Shangpu","0","","","",""
"1a","贺村","Hecun","0","","","",""
"1b","新塘边","Xintangbian","530","","","",""
"1c","湖沿","Huyan","0","","","",""
"1d","玉山","Yushan","557","","","",""
"1e","广丰","Guangfeng","0","","","",""
"1f","上饶","Shangrao","587","","","",""
"1g","枫岭头","Fenglingtou","0","","","",""
"1h","坑口","Kengkou","0","","","",""
"1i","横峰","Hengfeng","635","","","",""
"1j","弋阳","Yiyang","652","","","",""
"1k","河潭埠","Hetanbu","0","","","",""
"1l","贵溪","Guixi","682","","","",""
"1m","童家","Tongjia","0","","","",""
"1n","鹰潭","Yingtan","703","","","",""
"1o","余江","Yujiang","724","","","",""
"1p","东乡","Dongxiang","744","","","",""
"1q","衙前","Yaqian","0","","","",""
"1r","进贤","Jinxian","783","","","",""
"1s","温家圳","Wenjiazhen","799","","","",""
"1t","梁家渡","Liangjiadu","812","","","",""
"1u","潭岗","Tangang","828","","","",""
"1v","丰城","Fengcheng","849","","","",""
"1w","拖船埠","Tuochuanbu","861","","","",""
"1x","樟树","Zhangshu","873","","","",""
"1y","张家山","Zhangjiashan","882","","","",""
"1z","临江镇","Linjiangzhen","0","","","",""
"20","黄土岗","Huangtugang","917","","","",""
"21","罗坊","Luofang","930","","","",""
"22","新余","Xinyu","949","","","",""
"23","河下","Hexia","958","","","",""
"24","分宜","Fenyi","979","","","",""
"25","彬江","Binjiang","990","","","",""
"26","宜春","Yichun","1003","","","",""
"27","宜春西","Yichun West","0","","","",""
"28","西村","Xicun","1025","","","",""
"29","芦溪","Luxi","1037","","","",""
"2a","泉江","Quanjiang","1060","","","",""
"2b","白源","Baiyuan","1066","","","",""
"2c","萍乡","Pingxiang","1074","","","",""
"2d","姚家洲","Yaojiazhou","1083","","","",""
"2e","灯芯桥","Dengxinqiao","0","","","",""
"2f","醴陵","Liling","1113","","","",""
"2g","东冲铺","Dongchongpu","0","","","",""
"2h","五里墩","Wulidun","0","","","",""
"2i","株洲","Zhuzhou","1155","","","",""
"2j","田心","Tianxin","0","","","",""
"2k","十里冲","Shilichong","0","","","",""
"2l","湘潭东","Xiangtan East","0","","","",""
"2m","湘潭","Xiangtan","1181","","","",""
"2n","云湖桥","Yunhuqiao","0","","","",""
"2o","向韶","Xiangshao","1210","","","",""
"2p","湘乡","Xiangxiang","1223","","","",""
"2q","双江","Shuangjiang","0","","","",""
"2r","普安堂","Pu'antang","0","","","",""
"2s","棋梓桥","Qiziqiao","0","","","",""
"2t","胜昔桥","Shengxiqiao","0","","","",""
"2u","娄底东","Loudi East","0","","","",""
"2v","娄底","Loudi","1280","","","",""
"2w","百亩井","Baimujing","0","","","",""
"2x","杨市","Yangshi","0","","","",""
"2y","涟源","Lianyuan","1322","","","",""
"2z","荷叶","Heye","0","","","",""
"30","石泉","Shiquan","0","","","",""
"31","金竹山","Jinzhushan","0","","","",""
"32","冷水江东","Lengshuijiang East","1352","","","",""
"33","冷水江西","Lengshuijiang West","0","","","",""
"34","新化","Xinhua","1373","","","",""
"35","金滩","Jintan","0","","","",""
"36","西河","Xihe","0","","","",""
"37","横阳山","Hengyangshan","0","","","",""
"38","安化","Anhua","1420","","","",""
"39","渠江","Qujiang","0","","","",""
"3a","烟溪","Yanxi","0","","","",""
"3b","新胜利","Xinshengli","0","","","",""
"3c","低庄","Dizhuang","1471","","","",""
"3d","川水","Chuanshui","0","","","",""
"3e","溆浦","Xupu","1491","","","",""
"3f","思蒙","Simeng","0","","","",""
"3g","大江口","Dajiangkou","0","","","",""
"3h","辰溪","Chenxi","1541","","","",""
"3i","小龙门","Xiaolongmen","0","","","",""
"3j","花桥镇","Huaqiaozhen","0","","","",""
"3k","泸阳","Luyang","1580","","","",""
"3l","怀化东","Huaihua East","0","","","",""
"3m","怀化","Huaihua","1595","","","",""
"3n","公坪","Gongping","0","","","",""
"3o","芷江西","Zhijiang West","0","","","",""
"3p","冷水铺","Lengshuipu","0","","","",""
"3q","波洲","Pozhou","0","","","",""
"3r","新晃","Xinhuang","1682","","","",""
"3s","大龙","Dalong","0","","","",""
"3t","玉屏","Yuping","1715","","","",""
"3u","羊坪","Yangping","1728","","","",""
"3v","青溪","Qingxi","1740","","","",""
"3w","蕉溪","Jiaoxi","1760","","","",""
"3x","镇远","Zhenyuan","1776","","","",""
"3y","水花","Shuihua","1796","","","",""
"3z","施秉","Shibing","1815","","","",""
"40","黄平","Huangping","1822","","","",""
"41","宝老山","Baolaoshan","1831","","","",""
"42","加劳","Jialao","1848","","","",""
"43","桐木寨","Tongmuzhai","1854","","","",""
"44","凯里","Kaili","1864","","","",""
"45","六个鸡","Liugeji","1886","","","",""
"46","凯里西","Kaili West","1900","","","",""
"47","福泉","Fuquan","1924","","","",""
"48","黄丝","Huangsi","1938","","","",""
"49","半边街","Banbianjie","0","","","",""
"4a","贵定","Guiding","1963","","","",""
"4b","高坪铺","Gaopingpu","1978","","","",""
"4c","麻芝铺","Mazhipu","0","","","",""
"4d","龙里","Longli","2001","","","",""
"4e","新寨所","Xinzhaisuo","2024","","","",""
"4f","贵阳","Guiyang","2052","","","",""
"4g","贵阳西","Guiyang West","0","","","",""
"4h","花坡","Huapo","0","","","",""
"4i","石板哨","Shibanshao","2072","","","",""
"4j","湖潮","Huchao","2084","","","",""
"4k","马场","Machang","2096","","","",""
"4l","高峰","Gaofeng","2103","","","",""
"4m","平坝","Pingba","2108","","","",""
"4n","新平坝","Xinpingba","2112","","","",""
"4o","天龙","Tianlong","2122","","","",""
"4p","两所屯","Liangsuotun","2142","","","",""
"4q","安顺","Anshun","2149","","","",""
"4r","么铺","Yaopu","2162","","","",""
"4s","黄桶","Huangtong","2180","","","",""
"4t","化处","Huachu","2187","","","",""
"4u","大用","Dayong","0","","","",""
"4v","六枝","Liuzhi","2205","","","",""
"4w","那玉","Nayu","2210","","","",""
"4x","新窑","Xinyao","0","","","",""
"4y","关寨","Guanzhai","2240","","","",""
"4z","二道岩","Erdaoyan","2252","","","",""
"50","茨冲","Cichong","2269","","","",""
"51","滥坝","Lanba","2279","","","",""
"52","双水","Shuangshui","2290","","","",""
"53","水城","Shuicheng","2296","","","",""
"54","六盘水","Liupanshui","2301","","","",""
"55","马嘎","Maga","2309","","","",""
"56","葡萄菁","Putaojing","2316","","","",""
"57","梅花山","Meihuashan","2323","","","",""
"58","乌蒙山二号隧道12260m ","Wumeng Mountain Tunnel II12260m ","0","","","",""
"59","扒挪块","Banuokuai","0","","","",""
"5a","背开柱","Beikaizhu","0","","","",""
"5b","三联隧道12214m ","Sanlian Tunnel12214m ","0","","","",""
"5c","且午","Qiewu","0","","","",""
"5d","凤凰山","Fenghuangshan","2425","","","",""
"5e","宣威","Xuanwei","2432","","","",""
"5f","龙津沟","Longjingou","0","","","",""
"5g","炎方","Yanfang","0","","","",""
"5h","珠江源","Zhuajiangyuan","0","","","",""
"5i","松林","Songlin","0","","","",""
"5j","沾益","Zhanyi","2523","","","",""
"5k","曲靖","Qujing","2533","","","",""
"5l","马龙","Malong","2552","","","",""
"5m","吴官田","Wuguantian","2562","","","",""
"5n","照福铺","Zhaofupu","2581","","","",""
"5o","小新街","Xiaoxinjie","2614","","","",""
"5p","杨林","Yanglin","2632","","","",""
"5q","小哨","Xiaoshao","2649","","","",""
"5r","金马村","Jinmacun","2674","","","",""
"5s","昆明东","Kunming East","0","","","",""
"5t","昆明","Kunming","2690","","","",""
