"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","金华","Jinhua","0","","","zh949267",""
"02","竹马馆","Zhumaguan","0","","","zh1920223",""
"03","功塘","Gongtang","0","","","zh1920224",""
"04","兰溪","Lanxi","23","","","zh1920225",""
"05","溪西","Xixi","0","","","zh1920226",""
"06","永昌","Yongchang","36","","","zh1920227",""
"07","排塘","Paitang","0","","","zh1920230",""
"08","新安江南","Xin'anjiang South","0","","","zh5409210",""
"09","朱家埠","Zhujiabu","0","","","zh1920234",""
"0a","千岛湖南","Qiandaohu South","79","","","zh5542376",""
