"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","芜湖","Wuhu","0","","","",""
"02","火龙岗","Huolonggang","0","","","",""
"03","八里湾","Baliwan","0","","","",""
"04","陶辛","Taoxin","0","","","",""
"05","湾沚","Wanzhi","0","","","",""
"06","三元","Sanyuan","0","","","",""
"07","巷口桥","Xiangkouqiao","0","","","",""
"08","宣城","Xuancheng","64","","","",""
"09","孙家埠","Sunjiabu","0","","","",""
"0a","水东","Shuidong","0","","","",""
"0b","港口镇","Gangkouzhen","0","","","",""
"0c","宁国","Ningguo","109","","","",""
"0d","竹峰","Zhufeng","0","","","",""
"0e","霞西","Xiaxi","0","","","",""
"0f","府祝","Fuzhu","0","","","",""
"0g","甲路","Jialu","0","","","",""
"0h","胡乐","Hule","0","","","",""
"0i","金沙","Jinsha","0","","","",""
"0j","黄土坑","Huangtukeng","0","","","",""
"0k","际坑口","Jikengkou","0","","","",""
"0l","郎家溪","Langjiaxi","0","","","",""
"0m","绩溪县","Jixixian","196","","","",""
"0n","临溪","Linxi","0","","","",""
"0o","三昆","Sankun","0","","","",""
"0p","歙县","Shexian","224","","","",""
"0q","岩寺","Yansi","0","","","",""
"0r","篁墩","Huangdun","0","","","",""
"0s","黄山","Huangshan","246","","","",""
"0t","金村","Jincun","0","","","",""
"0u","休宁","Xiuning","0","","","",""
"0v","岩前","Yanqian","0","","","",""
"0w","黟县","Yixian","0","","","",""
"0x","北坑","Beikeng","0","","","",""
"0y","金字牌","Jinzipai","0","","","",""
"0z","祁门","Qimen","312","","","",""
"10","侯潭","Houtan","0","","","",""
"11","新红光","Xinhongguang","0","","","",""
"12","溶口","Rongkou","0","","","",""
"13","倒湖","Daohu","0","","","",""
"14","营里","Yingli","0","","","",""
"15","峙滩","Zhitan","369","","","",""
"16","福港","Fugang","385","","","",""
"17","韩坑","Hankeng","0","","","",""
"18","浮梁","Fuliang","405","","","",""
"19","景德镇","Jingdezhen","413","","","",""
"1a","景德镇南","Jingdezhen South","0","","","",""
"1b","鲇鱼山","Nianyushan","428","","","",""
"1c","慈义","Ciyi","0","","","",""
"1d","塔前","Taqian","451","","","",""
"1e","乐平市","Lepingshi","461","","","",""
"1f","库前","Kuqian","0","","","",""
"1g","甘棠","Gantang","475","","","",""
"1h","韩美岭","Hanmeiling","0","","","",""
"1i","万年","Wannian","493","","","",""
"1j","葛家店","Gejiadian","0","","","",""
"1k","画桥","Huaqiao","514","","","",""
"1l","硬石岭","Yingshiling","525","","","",""
"1m","中村","Zhongcun","0","","","",""
"1n","贵溪北","Guixi North","0","","","",""
"1o","贵溪","Guixi","550","","","",""
