"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","鹰潭","Yingtan",,,,,
"02","鹰潭南","Yingtan South",,,,,
"03","余家","Yujia",,,,,
"04","肖家","Xiaojia",,,,,
"05","上清","Shangqing",,,,,
"06","圳上","Zhenshang",,,,,
"07","富庶岭","Fushuling",,,,,
"08","饶桥","Raoqiao",,,,,
"09","高阜","Gaofu",,,,,
"0a","资溪","Zixi",,,,,
"0b","铁关村","Tieguancun",,,,,
"0c","园岱","Yuandai",,,,,
"0d","大禾山","Daheshan",,,,,
"0e","华桥","Huaqiao",,,,,
"0f","大源村","Dayuancun",,,,,
"0g","西陇","Xilong",,,,,
"0h","光泽","Guangze",,,,,
"0i","和顺","Heshun",,,,,
"0j","莫口","Mokou",,,,,
"0k","药村","Yaocun",,,,,
"0l","邵武","Shaowu",,,,,
"0m","下王塘","Xiawangtang",,,,,
"0n","晒口","Shaikou",,,,,
"0o","吴家塘","Wujiatang",,,,,
"0p","官墩","Guandun",,,,,
"0q","大竹","Dazhu",,,,,
"0r","拿口","Nakou",,,,,
"0s","卫闽","Weimin",,,,,
"0t","陈坊","Chenfang",,,,,
"0u","富文","Fuwen",,,,,
"0v","埔上","Pushang",,,,,
"0w","吉舟","Jizhou",,,,,
"0x","五里亭","Wuliting",,,,,
"0y","顺昌","Shunchang",,,,,
"0z","潘坊","Panfang",,,,,
"10","洋口","Yangkou",,,,,
"11","建西","Jianxi",,,,,
"12","峡阳","Xiayang",,,,,
"13","梅照","Meizhao",,,,,
"14","照口","Zhaokou",,,,,
"15","王富","Wangfu",,,,,
"16","来舟","Laizhou",,,,,
"17","外洋","Waiyang",,,,,
"18","青州","Qingzhou",,,,,
"19","涌溪","Yongxi",,,,,
"1a","龙江村","Longjiangcun",,,,,
"1b","高砂","Gaosha",,,,,
"1c","万能","Wanneng",,,,,
"1d","三明北","Sanming North",,,,,
"1e","城头","Chengtou",,,,,
"1f","上游","Shangyou",,,,,
"1g","三明东","Sanming East",,,,,
"1h","三元区","Sanyuanqu",,,,,
"1i","荆西","Jingxi",,,,,
"1j","上房山","Shangfangshan",,,,,
"1k","楼前","Louqian",,,,,
"1l","贡川","Gongchuan",,,,,
"1m","西坑","Xikeng",,,,,
"1n","益口","Yikou",,,,,
"1o","永安","Yongan",,,,,
"1p","永浆","Yongjiang",,,,,
"1q","桂口","Guikou",,,,,
"1r","西洋","Xiyang",,,,,
"1s","打虎坑","Dahukeng",,,,,
"1t","岭头","Lingtou",,,,,
"1u","柯周坑","Kezhoukeng",,,,,
"1v","城口","Chengkou",,,,,
"1w","麦园","Maiyuan",,,,,
"1x","城门","Chengmen",,,,,
"1y","钱坂","Qianban",,,,,
"1z","卓宅","Zhuozhai",,,,,
"20","漳平","Zhangping",,,,,
"21","芦芝","Luzhi",,,,,
"22","易坑","Yikeng",,,,,
"23","梅水坑","Meishuikeng",,,,,
"24","小集","Xiaoji",,,,,
"25","西陂","Xibei",,,,,
"26","绵良","Mianliang",,,,,
"27","华安","Hua'an",,,,,
"28","罗溪","Luoxi",,,,,
"29","金山桥","Jinshanqiao",,,,,
"2a","溪南坂","Xinanban",,,,,
"2b","鹅山","Eshan",,,,,
"2c","利水","Lishui",,,,,
"2d","沙建","Shajian",,,,,
"2e","磹口","Diankou",,,,,
"2f","长泰","Changtai",,,,,
"2g","漳州东","Zhangzhou East",,,,,
"2h","龙海","Longhai",,,,,
"2i","角美","Jiaomei",,,,,
"2j","东孚","Dongfu",,,,,
"2k","前场","Qianchang",,,,,
"2l","杏林","Xinglin",,,,,
"2m","厦门高崎","Xiemen Gaoqi",,,,,
"2n","厦门","Xiamen",,,,,
