"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","南昌西","Nanchang West","0","","","",""
"02","三江镇","Sanjiangzhen","43","","","",""
"03","大岗","Dagang","66","","","",""
"04","抚州北","Fuzhou North","89","","","",""
"05","抚州","Fuzhou","101","","","",""
"06","腾桥","Tengqiao","122","","","",""
"07","南城","Nancheng","149","","","",""
"08","南丰","Nanfeng","181","","","",""
"09","建宁县北","Jianningxian North","230","","","",""
"0a","泰宁","Taining","260","","","",""
"0b","将乐","Jiangle","302","","","",""
"0c","夏茂","Xiaomao","324","","","",""
"0d","三明北","Sanming North","352","","","",""
"0e","尤溪","Youxi","394","","","",""
"0f","中仙","Zhongxian","421","","","",""
"0g","长庆","Changqing","453","","","",""
"0h","永泰","Yongtai","489","","","",""
"0i","杜坞","Duwu","538","","","",""
"0j","福州","Fuzhou","547","","","",""
