"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","石家庄","Shijiazhuang","0","","","zh598975",""
"02","石工","Shigong","0","","","zh3956399",""
"03","良村","Liangcun","23","","","zh2905911",""
"04","藁城","Gaocheng","37","","","zh2905912",""
"05","晋州","Jinzhou","54","","","zh6937353",""
"06","辛集","Xinji","75","","","zh2905916",""
"07","王家井","Wangjiangjing","0","","","zh2905918",""
"08","前磨头","Qianmotou","102","","","zh2905919",""
"09","贡家台","Gongjiatai","110","","","zh2905920",""
"0a","衡水","Hengshui","122","","","zh1187781",""
"0b","清凉店","Qingliangdian","138","","","zh2905921",""
"0c","龙华","Longhua","154","","","zh746079",""
"0d","王瞳","Wangtong","170","","","zh2905925",""
"0e","八里庄","Balizhuang","0","","","zh2905926",""
"0f","德州","Dezhou","184","","","zh1187610",""
