"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","汉口","Hankou",,,,,
"02","新墩","Xingdun",,,,,
"03","舵落口","Duoluokou",,,,,
"04","吴家山","Wujiashan",,,,,
"05","新沟","Xingou",,,,,
"06","下辛店","Xiaxindian",,,,,
"07","隔蒲","Gepu",,,,,
"08","云梦","Yunmeng",,,,,
"09","安陆","Anlu",,,,,
"0a","平林","Pinglin",,,,,
"0b","马坪","Maping",,,,,
"0c","随州","Suizhou",,,,,
"0d","厉山","Lishan",,,,,
"0e","唐县镇","Tangxianzhen",,,,,
"0f","随阳店","Suiyangdian",,,,,
"0g","兴隆集","Xinglongji",,,,,
"0h","枣阳","Zaoyang",,,,,
"0i","琚湾","Juwan",,,,,
"0j","襄州","Xiangzhou",,,,,
"0k","襄阳北","Xiangyang North",,,,,
"0l","马棚","Mapeng",,,,,
"0m","陈家湖","Chenjiahu",,,,,
"0n","老河口东","Laohekou East",,,,,
