"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","张家口","Zhangjiakou","0","","","",""
"02","孔家庄","Kongjiazhuang","13","","","",""
"03","万全西","Wanquan West","0","","","",""
"04","小蒜沟","Xiaosuangou","0","","","",""
"05","友谊水库","Youyishuiku","79","","","",""
"06","兴和西","Xinghe West","99","","","",""
"07","庙梁","Miaoliang","113","","","",""
"08","西土城","Xitucheng","137","","","",""
"09","古营盘","Guyingpan","171","","","",""
"0a","集宁南","Jining South","178","","","",""
