"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","包头","Baotou",,,,,
"02","包头西","Baotou West",,,,,
"03","打拉亥","Dalahai",,,,,
"04","哈业胡同","Hayehutong",,,,,
"05","白彦花","Baiyanhua",,,,,
"06","公庙子","Gongmiaozi",,,,,
"07","乌拉山","Wulashan",,,,,
"08","乌拉特前旗","Wulateqianqi",,,,,
"09","西小召","Xixiaozhao",,,,,
"0a","五原","Wuyuan",,,,,
"0b","四分滩","Sifentan",,,,,
"0c","临河","Linhe",,,,,
"0d","头道桥","Toudaoqiao",,,,,
"0e","巴彦高勒","Bayangaole",,,,,
"0f","杭锦旗","Hangjinqi",,,,,
"0g","桃司兔","Taositu",,,,,
"0h","碱柜","Jiangui",,,,,
"0i","乌海北","Wuhai North",,,,,
"0j","乌海","Wuhai",,,,,
"0k","黄白茨","Huangbaici",,,,,
"0l","乌海西","Wuhai West",,,,,
"0m","惠农","Huinong",,,,,
"0n","燕子墩","Yanzidun",,,,,
"0o","平罗","Pingluo",,,,,
"0p","石嘴山","Shizuishan",,,,,
"0q","西大滩","Xidatan",,,,,
"0r","暖泉","Nuanquan",,,,,
"0s","芦花台","Luhuatai",,,,,
"0t","银川","Yinchuan",,,,,
"0u","银川南","Yinchuan South",,,,,
"0v","西干","Xigan",,,,,
"0w","黄羊滩","Huangyangtan",,,,,
"0x","西邵","Xishao",,,,,
"0y","玉泉营","Yuquanying",,,,,
"0z","银光","Yinguang",,,,,
"10","大坝","Daba",,,,,
"11","小坝","Xiaoba",,,,,
"12","青铜峡","Qingtongxia",,,,,
"13","青分","Qingfen",,,,,
"14","分守岭","Fenshouling",,,,,
"15","广武堡","Guangwubao",,,,,
"16","渠口堡","Qukoubao",,,,,
"17","铁桶堡","Tietongbao",,,,,
"18","枣园堡","Zaoyuanbao",,,,,
"19","新市沟","Xinshigou",,,,,
"1a","中宁","Zhongning",,,,,
"1b","余丁","Yuding",,,,,
"1c","黄羊湾","Huangyangwan",,,,,
"1d","柳家庄","Liujiazhuang",,,,,
"1e","中卫","Zhongwei",,,,,
"1f","迎水桥","Yingshuiqiao",,,,,
"1g","沙坡头","Shapotou",,,,,
"1h","孟家湾","Mengjiawan",,,,,
"1i","长流水","Changliushui",,,,,
"1j","红卫","Hongwei",,,,,
"1k","一碗泉","Yiwanquan",,,,,
"1l","干塘","Gantang",,,,,
"1m","小红山","Xiaohongshan",,,,,
"1n","营盘水","Yingpanshui",,,,,
"1o","大格达","Dageda",,,,,
"1p","白墩子","Baidunzi",,,,,
"1q","长城","Changcheng",,,,,
"1r","景泰","Jingtai",,,,,
"1s","兴泉堡","Xingquanbu",,,,,
"1t","喜集水","Xijishui",,,,,
"1u","黄崖","Huangya",,,,,
"1v","赵家水","Zhaojiashui",,,,,
"1w","狼抱水","Langbaoshui",,,,,
"1x","红岘台","Hongxiantai",,,,,
"1y","吴家窑","Wujiayao",,,,,
"1z","窦家沟","Doujiagou",,,,,
"20","红砂岘","Hongshaxian",,,,,
"21","白银西","Baiyin West",,,,,
"22","后长川","Houchangchuan",,,,,
"23","朱家窑","Zhujiayao",,,,,
"24","丰水村","Fengshuicun",,,,,
"25","土龙川","Tulongchuan",,,,,
"26","皋兰","Gaolan",,,,,
"27","红圈沟","Hongquangou",,,,,
"28","前长川","Qianchangchuan",,,,,
"29","邵家堂","Shaojiatang",,,,,
"2a","水源","Shuiyuan",,,,,
"2b","青白石","Qingbaishi",,,,,
"2c","兰州东","Lanzhou East",,,,,
"2d","兰州","Lanzhou",,,,,
