"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","大同","Datong",,,,,
"02","平旺","Pingwang",,,,,
"03","韩家岭","Hanjialing",,,,,
"04","里八庄","Libazhuang",,,,,
"05","怀仁","Huairen",,,,,
"06","宋家庄","Songjiazhuang",,,,,
"07","金沙滩","Jinshatan",,,,,
"08","北周庄","Beizhouzhuang",,,,,
"09","岱岳","Daiyue",,,,,
"0a","东榆林","Dongyulin",,,,,
"0b","袁树林","Yuanshulin",,,,,
"0c","神头","Shentou",,,,,
"0d","大新","Daxin",,,,,
"0e","朔州","Shuozhou",,,,,
"0f","前寨","Qianzhai",,,,,
"0g","阳方口","Yangfangkou",,,,,
"0h","宁武","Ningwu",,,,,
"0i","凤凰村","Fenghuangcun",,,,,
"0j","长畛","Changzhen",,,,,
"0k","轩岗","Xuangang",,,,,
"0l","芦庄","Luzhuang",,,,,
"0m","上阳武","Shangyangwu",,,,,
"0n","大牛店","Daniudian",,,,,
"0o","梅家庄","Meijiazhuang",,,,,
"0p","原平","Yuanping",,,,,
"0q","唐林岗","Tanglingang",,,,,
"0r","忻口","Xinkou",,,,,
"0s","部落","Buluo",,,,,
"0t","播明","Boming",,,,,
"0u","忻州","Xinzhou",,,,,
"0v","田村","Tiancun",,,,,
"0w","豆罗","Douluo",,,,,
"0x","平社","Pingshe",,,,,
"0y","高村","Gaocun",,,,,
"0z","阳曲","Yangqu",,,,,
"10","南塔底","Nantadi",,,,,
"11","皇后园","Huanghouyuan",,,,,
"12","太原北","Taiyuan North",,,,,
"13","太原东","Taiyuan East",,,,,
"14","太原","Taiyuan",,,,,
