"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","榆次","Yuci",,,,,
"02","修文","Xiuwen",,,,,
"03","太谷","Taigu",,,,,
"04","东观","Dongguan",,,,,
"05","祁县","Qixian",,,,,
"06","洪善","Hongshan",,,,,
"07","平遥","Pingyao",,,,,
"08","张兰","Zhanglan",,,,,
"09","义安","Yi'an",,,,,
"0a","介休","Jiexiu",,,,,
"0b","义棠","Yitang",,,,,
"0c","两渡","Liangdu",,,,,
"0d","灵石","Lingshi",,,,,
"0e","冷泉","Lengquan",,,,,
"0f","南关","Nanguan",,,,,
"0g","霍州","Huozhou",,,,,
"0h","圣佛","Shengfo",,,,,
"0i","辛置","Xinzhi",,,,,
"0j","赵城","Zhaocheng",,,,,
"0k","辛堡","Xinbu",,,,,
"0l","洪洞","Hongtong",,,,,
"0m","甘亭","Ganting",,,,,
"0n","临汾北","Linfen North",,,,,
"0o","临汾","Linfen",,,,,
"0p","张礼","Zhangli",,,,,
"0q","襄汾","Xiangfen",,,,,
"0r","高显","Gaoxian",,,,,
"0s","侯马北","Houma North",,,,,
"0t","侯马","Houma",,,,,
"0u","史店","Shidian",,,,,
"0v","礼元","Liyuan",,,,,
"0w","东镇","Dongzhen",,,,,
"0x","闻喜","Wenxi",,,,,
"0y","水头","Shuitou",,,,,
"0z","辛庄","Xinzhuang",,,,,
"10","半坡村","Banpocun",,,,,
"11","安邑","Anyi",,,,,
"12","运城","Yuncheng",,,,,
"13","店坡","Dianpo",,,,,
"14","解县","Jiexian",,,,,
"15","董村","Dongcun",,,,,
"16","虞乡","Yuxiang",,,,,
"17","孙常","Sunchang",,,,,
"18","永济","Yongji",,,,,
"19","蒲州","Puzhou",,,,,
"1a","韩阳镇","Hanyangzhen",,,,,
"1b","首阳","Shouyang",,,,,
"1c","风陵渡","Fenglingdu",,,,,
"1d","港口","Gangkou",,,,,
"1e","公庄","Gongzhuang",,,,,
"1f","华山","Huashan",,,,,
