"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","徐州东线路所","Xuzhou East Signal Base",,,,,
"02","铜山线路所","Tongshan Signal Base",,,,,
"03","萧县北","Xiaoxian North",,,,,
"04","永城北","Yongcheng North",,,,,
"05","砀山南","Dangshan South",,,,,
"06","商丘","Shangqiu",,,,,
"07","民权北","Minquan North",,,,,
"08","兰考南","Lankao South",,,,,
"09","开封北","Kaifeng North",,,,,
"0a","郑州东","Zhengzhou East",,,,,
"0b","郑州西","Zhengzhou West",,,,,
"0c","巩义南","Gongyi South",,,,,
"0d","洛阳龙门","Luoyang Longmen",,,,,
"0e","渑池南","Mianchi South",,,,,
"0f","三门峡南","Sanmenxia South",,,,,
"0g","灵宝西","Lingbao West",,,,,
"0h","华山北","Huashan North",,,,,
"0i","渭南北","Weinan North",,,,,
"0j","临潼东","Lintong East",,,,,
"0k","西安北","Xi'an North",,,,,
"0l","咸阳秦都","Xianyang Qindu",,,,,
"0m","杨陵南","Yangling South",,,,,
"0n","岐山","Qishan",,,,,
"0o","宝鸡南","Baoji South",,,,,
"0p","安坪","Anping",,,,,
"0q","东岔","Dongcha",,,,,
"0r","石家湾","Shijiawan",,,,,
"0s","天水南","Tianshui South",,,,,
"0t","秦安","Qin'an",,,,,
"0u","通渭","Tongwei",,,,,
"0v","下小岔","Xiaxiaocha",,,,,
"0w","定西北","Dingxi North",,,,,
"0x","榆中","Yuzhong",,,,,
"0y","兰州西","Lanzhou West",,,,,
