"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","朔州","Shuozhou",,,,,
"02","朔州西","Shuozhou West",,,,,
"03","寇庄","Kouzhuang",,,,,
"04","九圪塔","Jiugeta",,,,,
"05","上圪塔","Shanggeta",,,,,
"06","神池南","Shenchi South",,,,,
"07","南坡底","Nanpodi",,,,,
"08","贺职","Hezhi",,,,,
"09","三岔镇","Sanchazhen",,,,,
"0a","韩家楼","Hanjialou",,,,,
"0b","李家沟","Lijiagou",,,,,
"0c","阴塔","Yinta",,,,,
"0d","王家寨","Wangjiazhai",,,,,
"0e","桥头","Qiaotou",,,,,
"0f","保德","Baode",,,,,
"0g","府谷","Fugu",,,,,
"0h","孤山川","Gushanchuan",,,,,
"0i","新城川","Xinchengchuan",,,,,
"0j","黄羊城","Huangyangcheng",,,,,
"0k","神木北","Shenmu North",,,,,
"0l","燕家塔","Yanjiata",,,,,
"0m","朱盖塔","Zhugaita",,,,,
"0n","大柳塔","Daliuta",,,,,
