"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","兰州","Lanzhou",,,,,
"02","兰州西","Lanzhou West",,,,,
"03","陈官营","Chenguanying",,,,,
"04","福利区","Fuliqu",,,,,
"05","西固城","Xigucheng",,,,,
"06","坡底下","Podixia",,,,,
"07","河口南","Hekounan",,,,,
"08","大路","Dalu",,,,,
"09","龙泉寺","Longquansi",,,,,
"0a","马家坪","Majiaping",,,,,
"0b","永登","Yongdeng",,,,,
"0c","中堡","Zhongpu",,,,,
"0d","富强堡","Fuqiangbao",,,,,
"0e","天祝","Tianzhu",,,,,
"0f","打柴沟","Dachaigou",,,,,
"0g","乌鞘岭隧道20060m ","Wushaoling Tunnel20060m ",,,,,
"0h","龙沟","Longgou",,,,,
"0i","柳家台","Liujiatai",,,,,
"0j","古浪","Gulang",,,,,
"0k","黄羊镇","Huangyangzhen",,,,,
"0l","头坝河","Toubahe",,,,,
"0m","武威南","Wuwei South",,,,,
"0n","武威","Wuwei",,,,,
"0o","北河","Beihe",,,,,
"0p","槐安","Huai'an",,,,,
"0q","截河坝","Jieheba",,,,,
"0r","青山堡","Qingshanbao",,,,,
"0s","金昌","Jinchang",,,,,
"0t","玉石","Yushi",,,,,
"0u","芨岭","Jiling",,,,,
"0v","大青阳口","Daqingyangkou",,,,,
"0w","马莲井","Malianjing",,,,,
"0x","山丹","Shandan",,,,,
"0y","东乐","Dongle",,,,,
"0z","西屯","Xitun",,,,,
"10","张掖","Zhangye",,,,,
"11","平原堡","Pingyuanbao",,,,,
"12","临泽","Linze",,,,,
"13","新华庄","Xinhuazhuang",,,,,
"14","高台","Gaotai",,,,,
"15","梧桐泉","Wutongquan",,,,,
"16","许三湾","Xusanwan",,,,,
"17","屯升","Tunsheng",,,,,
"18","清水","Qingshui",,,,,
"19","清水西","Qingshui West",,,,,
"1a","上河清","Shangheqing",,,,,
"1b","红山堡","Hongshanbao",,,,,
"1c","酒泉","Jiuquan",,,,,
"1d","嘉峪关","Jiayuguan",,,,,
"1e","黑山湖","Heishanhu",,,,,
"1f","玉门东","Yumen East",,,,,
"1g","腰泉子","Yaoquanzi",,,,,
"1h","五华山","Wuhuashan",,,,,
"1i","低窝铺","Diwopu",,,,,
"1j","玉门","Yumen",,,,,
"1k","军垦","Junken",,,,,
"1l","疏勒河","Shulehe",,,,,
"1m","桥湾","Qiaowan",,,,,
"1n","柳沟","Liugou",,,,,
"1o","安北","Anbei",,,,,
"1p","石板墩","Shibandun",,,,,
"1q","峡口","Xiakou",,,,,
"1r","柳园","Liuyuan",,,,,
"1s","大泉","Daquan",,,,,
"1t","照东","Zhaodong",,,,,
"1u","红柳河","Hongliuhe",,,,,
"1v","尾亚","Weiya",,,,,
"1w","景峡","Jingxia",,,,,
"1x","思甜","Sitian",,,,,
"1y","山口","Shankou",,,,,
"1z","烟墩","Yandun",,,,,
"20","红旗村","Hongqicun",,,,,
"21","哈密东","Hami East",,,,,
"22","红光西所","Hongguangxisuo",,,,,
"23","哈密","Hami",,,,,
"24","火石泉","Huoshiquan",,,,,
"25","头堡","Toupu",,,,,
"26","柳树泉","Liushuquan",,,,,
"27","雅子泉","Yaziquan",,,,,
"28","了墩","Liaodun",,,,,
"29","十三间房","Shisanjianfang",,,,,
"2a","大步","Dabu",,,,,
"2b","红台","Hongtai",,,,,
"2c","小草湖","Xiaocaohu",,,,,
"2d","红旗坎","Hongqikan",,,,,
"2e","鄯善","Shanshan",,,,,
"2f","红山口","Hongshankou",,,,,
"2g","巴哥","Bage",,,,,
"2h","火焰山","Huoyanshan",,,,,
"2i","七泉湖","Qiquanhu",,,,,
"2j","煤窑沟","Meiyaogou",,,,,
"2k","夏普吐勒","Xieputule",,,,,
"2l","吐鲁番","Turpan",,,,,
"2m","天山","Tianshan",,,,,
"2n","达坂城","Danbancheng",,,,,
"2o","盐湖","Yanhu",,,,,
"2p","三葛庄","Sangezhuang",,,,,
"2q","芨芨槽子","Jijicaozi",,,,,
"2r","乌拉泊","Wulabo",,,,,
"2s","乌鲁木齐南","Urumqi South",,,,,
"2t","乌鲁木齐","Urumqi",,,,,
"2u","乌西","Wuxi",,,,,
"2v","三坪","Sanping",,,,,
"2w","昌吉","Changji",,,,,
"2x","呼图壁","Hutubi",,,,,
"2y","玛纳斯","Manas",,,,,
"2z","石河子","Shihezi",,,,,
"30","乌兰乌苏","Wulanwusu",,,,,
"31","沙湾县","Shawanxian",,,,,
"32","奎屯东","Kuytun East",,,,,
"33","奎屯","Kuytun",,,,,
"34","奎屯西","Kuytun West",,,,,
"35","乌苏","Usu",,,,,
"36","四棵树","Sikeshu",,,,,
"37","古河","Guhe",,,,,
"38","托托","Tuotuo",,,,,
"39","精河","Jinghe",,,,,
"3a","蘑菇滩","Mogutan",,,,,
"3b","艾比湖","Aibihu",,,,,
"3c","博乐","Bole",,,,,
"3d","乌兰达布森","Wulandabusen",,,,,
"3e","阿拉山口","Alashankou",,,,,
"3f","中国/哈萨克斯坦国界","Border (Kazakhstan)",,,,,
