"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","兰州西","Lanzhou West",,,,,
"02","陈家湾西","Chenjiawan West",,,,,
"03","民和南","Minhe South",,,,,
"04","张家庄隧道","Zhangjiazhuang Tunnel",,,,,
"05","海东","Haidong",,,,,
"06","海东西","Haidong West",,,,,
"07","西宁","Xining",,,,,
"08","大通西","Datong West",,,,,
"09","门源","Menyuan",,,,,
"0a","浩门","Haomen",,,,,
"0b","军马场","Junmachang",,,,,
"0c","民乐","Minle",,,,,
"0d","张掖西","Zhangye West",,,,,
"0e","临泽南","Linze South",,,,,
"0f","高台南","Gaotai South",,,,,
"0g","清水北","Qingshui North",,,,,
"0h","酒泉南","Jiuquan South",,,,,
"0i","嘉峪关南","Jiayuguan South",,,,,
"0j","清泉南","Qingquan South",,,,,
"0k","玉门","Yumen",,,,,
"0l","柳沟南","Liugou South",,,,,
"0m","石板墩南","Shibandun South",,,,,
"0n","柳园南","Liuyuan South",,,,,
"0o","大泉南","Daquan South",,,,,
"0p","红柳河南","Hongliuhe South",,,,,
"0q","思甜南","Sitian South",,,,,
"0r","烟墩东","Yandun South",,,,,
"0s","盐泉北","Yanquan North",,,,,
"0t","哈密","Hami",,,,,
"0u","柳树泉南","Liushuquan South",,,,,
"0v","了墩北","Liaodun North",,,,,
"0w","红层南","Hongceng South",,,,,
"0x","小草湖西","Xiaocaohu West",,,,,
"0y","吐哈","Tuha",,,,,
"0z","鄯善北","Shanshan North",,,,,
"10","胜金北","Shengjin North",,,,,
"11","吐鲁番北","Turpan North",,,,,
"12","大河沿","Daheyan",,,,,
"13","盐湖西","Yanhu West",,,,,
"14","乌鲁木齐南","Urumqi South",,,,,
"15","乌鲁木齐","Urumqi",,,,,
