"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","精河","Jinghe","0","","","",""
"02","精河南","Jinghe South","12","","","",""
"03","敖包","Aobao","0","","","",""
"04","阿恰尔","Aqia'er","0","","","",""
"05","苏古尔","Sugu'er","0","","","",""
"06","苏布台","Subutai","0","","","",""
"07","尼勒克","Nilka","140","","","",""
"08","布列开","Buliekai","168","","","",""
"09","伊宁东","Yining East","193","","","",""
"0a","伊宁","Yining","212","","","",""
"0b","霍城","Huocheng","0","","","",""
"0c","霍尔果斯","Khorgas","285","","","",""
"0d","中国/哈萨克斯坦国界","Border (Kazakhstan)","0","","","",""
