"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","衡阳","Hengyang","0","","","",""
"02","衡阳西","Hengyang West","0","","","",""
"03","三塘","Santang","0","","","",""
"04","谭子山","Tanzishan","0","","","",""
"05","鸡笼街","Jilongjie","0","","","",""
"06","白鹤铺","Baihepu","0","","","",""
"07","祁东北","Qidong North","63","","","",""
"08","祁东西","Qidong West","0","","","",""
"09","白地市","Baidishi","0","","","",""
"0a","祁阳北","Qiyang North","98","","","",""
"0b","大村甸","Dacundian","0","","","",""
"0c","黄阳司","Huangyangsi","119","","","",""
"0d","高溪市","Gaoxishi","0","","","",""
"0e","永州","Yongzhou","141","","","",""
"0f","滩头湾","Tantouwan","0","","","",""
"0g","蓝家村","Lanjiacun","154","","","",""
"0h","井头墟","Jingtouxu","165","","","",""
"0i","东安","Dong'an","175","","","",""
"0j","紫溪","Zixi","187","","","",""
"0k","黄土井","Huangtujing","0","","","",""
"0l","庙头","Miaotou","206","","","",""
"0m","黄沙河","Huangshahe","215","","","",""
"0n","夏马","Xiama","0","","","",""
"0o","永岁","Yongsui","0","","","",""
"0p","新塘坪","Xintangping","0","","","",""
"0q","全州","Quanzhou","239","","","",""
"0r","才湾","Caiwan","0","","","",""
"0s","田心铺","Tianxinpu","0","","","",""
"0t","绍水","Shaoshui","262","","","",""
"0u","咸水","Xianshui","0","","","",""
"0v","四季田","Sijitian","0","","","",""
"0w","百里村","Bailicun","284","","","",""
"0x","南塘","Nantang","0","","","",""
"0y","兴安","Xing'an","299","","","",""
"0z","严关乡","Yanguanxiang","309","","","",""
"10","军田村","Juntiancun","0","","","",""
"11","大溶江","Darongjiang","320","","","",""
"12","凉风桥","Liangfengqiao","0","","","",""
"13","三街","Sanjie","0","","","",""
"14","灵川","Lingchuan","346","","","",""
"15","桂林北","Guilin North","0","","","",""
"16","桂林","Guilin","0","","","",""
"17","二塘","Ertang","373","","","",""
"18","横山","Hengshan","0","","","",""
"19","大溪河","Daxihe","0","","","",""
"1a","塘堡","Tangbao","0","","","",""
"1b","永福","Yongfu","408","","","",""
"1c","葡萄","Putao","0","","","",""
"1d","石祥","Shixiang","0","","","",""
"1e","亲睦村","Qinmucun","0","","","",""
"1f","矮岭","Ailing","0","","","",""
"1g","波寨","Bozhai","0","","","",""
"1h","大端河","Daduanhe","0","","","",""
"1i","黄冕","Huangmian","0","","","",""
"1j","幽兰","Youlan","0","","","",""
"1k","新村","Xincun","0","","","",""
"1l","鹿寨","Luzhai","488","","","",""
"1m","对亭","Duiting","0","","","",""
"1n","雒容","Luorong","0","","","",""
"1o","洛埠","Luobu","0","","","",""
"1p","龙塘","Longtang","0","","","",""
"1q","鹧鸪江","Zhegujiang","0","","","",""
"1r","柳州北","Liuzhou North","0","","","",""
"1s","柳州","Liuzhou","538","","","",""
"1t","柳州南","Liuzhou South","542","","","",""
"1u","进德","Jinde","0","","","",""
"1v","白山","Baishan","0","","","",""
"1w","凤凰","Fenghuang","0","","","",""
"1x","来宾","Laibin","608","","","",""
"1y","良江","Liangjiang","0","","","",""
"1z","平塘","Pingtang","0","","","",""
"20","小平阳","Xiaopingyang","0","","","",""
"21","和吉村","Hejicun","0","","","",""
"22","黎塘","Litang","673","","","",""
"23","稔竹","Renzhu","0","","","",""
"24","沙江","Shajiang","0","","","",""
"25","六景","Liujing","0","","","",""
"26","伶俐","Lingli","741","","","",""
"27","邕宁","Yongning","0","","","",""
"28","屯里","Tunli","0","","","",""
"29","南宁东","Nanning East","782","","","",""
"2a","南宁","Nanning","793","","","",""
"2b","南化","Nanhua","0","","","",""
"2c","南宁南","Nanning South","0","","","",""
"2d","金鸡村","Jinjicun","810","","","",""
"2e","江西村","Jiangxicun","819","","","",""
"2f","维罗","Weiluo","0","","","",""
"2g","巴关岭","Baguanling","0","","","",""
"2h","扶绥","Fusui","848","","","",""
"2i","渠黎","Quli","864","","","",""
"2j","大陵","Daling","0","","","",""
"2k","渠旧","Qujiu","887","","","",""
"2l","濑湍","Laituan","899","","","",""
"2m","崇左","Chongzuo","915","","","",""
"2n","古坡","Gupo","0","","","",""
"2o","天西","Tianxi","942","","","",""
"2p","亭亮","Tingliang","952","","","",""
"2q","龙伯屯","Longbotun","963","","","",""
"2r","宁明","Ningming","970","","","",""
"2s","馗塘","Kuitang","0","","","",""
"2t","夏石","Xiashi","990","","","",""
"2u","上石","Shangshi","0","","","",""
"2v","凭祥北","Pingxiang North","0","","","",""
"2w","凭祥","Pingxiang","1013","","","",""
"2x","隘口","Aikou","1022","","","",""
"2y","中国/越南国界","Border (Vietnam)","0","","","",""
