"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","南宁","Nanning",,,,,
"02","南宁南","Nanning South",,,,,
"03","那罗","Naluo",,,,,
"04","吴圩","Wuxu",,,,,
"05","大王滩","Dawangtan",,,,,
"06","宁村","Ningcun",,,,,
"07","大元","Dayuan",,,,,
"08","那铺","Napu",,,,,
"09","百浪","Bailang",,,,,
"0a","大拟","Dani",,,,,
"0b","小董","Xiaodong",,,,,
"0c","大垌","Dadong",,,,,
"0d","马皇","Mahuang",,,,,
"0e","钦州","Qinzhou",,,,,
"0f","康熙岭","Kangxiling",,,,,
"0g","茅岭","Maoling",,,,,
"0h","防城","Fangcheng",,,,,
"0i","防城港北","Fangchenggang North",,,,,
"0j","防城港","Fangchenggang",,,,,
