"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","柳州","Liuzhou","0","","","",""
"02","柳州西","Liuzhou West","0","","","",""
"03","太阳村","Taiyangcun","16","","","",""
"04","洛满","Luoman","27","","","",""
"05","流塘","Liutang","0","","","",""
"06","肯洛","Kenluo","0","","","",""
"07","柳城","Liucheng","55","","","",""
"08","洛东","Luodong","63","","","",""
"09","龙井村","Longjingcun","0","","","",""
"0a","油路","Youlu","0","","","",""
"0b","宜州","Yizhou","91","","","",""
"0c","叶茂","Yemao","101","","","",""
"0d","龙江","Longjiang River","0","","","",""
"0e","怀远","Huaiyuan","0","","","",""
"0f","全村","Quancun","0","","","",""
"0g","德胜","Desheng","131","","","",""
"0h","都街","Dujie","0","","","",""
"0i","东江","Dongjiang","0","","","",""
"0j","金城江","Jinchengjiang","161","","","",""
"0k","岜仑","Balun","0","","","",""
"0l","六甲","Liujia","0","","","",""
"0m","六甲隧道4548m ","Liujia Tunnel4548m ","0","","","",""
"0n","大莫","Damo","0","","","",""
"0o","纳朝","Nachao","0","","","",""
"0p","车河","Chehe","0","","","",""
"0q","打场一号隧道","Dachang 1st Tunnel","0","","","",""
"0r","打场","Dachang","0","","","",""
"0s","打场二号隧道","Dacheng 2nd Tunnel","0","","","",""
"0t","南丹","Nandan","229","","","",""
"0u","坡朝","Pochao","0","","","",""
"0v","大山","Dashan","0","","","",""
"0w","泗亭","Siting","259","","","",""
"0x","麻尾","Mawei","314","","","",""
"0y","朱石寨","Zhushizhai","321","","","",""
"0z","星朗","Xinglang","334","","","",""
"10","峰洞","Fengdong","343","","","",""
"11","打羊","Dayang","363","","","",""
"12","学庄","Xuezhuang","373","","","",""
"13","孟孔","Mengkong","0","","","",""
"14","独山","Dushan","393","","","",""
"15","甲猫","Jiamao","0","","","",""
"16","墨冲","Mochong","415","","","",""
"17","河阳","Heyang","422","","","",""
"18","下寨","Xiazhai","0","","","",""
"19","都匀","Duyun","459","","","",""
"1a","绿荫湖","Lvyinhu","0","","","",""
"1b","胡家寨","Hujiazhai","0","","","",""
"1c","摆梭","Baosuo","0","","","",""
"1d","贵定南","Guiding South","499","","","",""
"1e","沿山","Yanshan","0","","","",""
"1f","龙里","Longli","569","","","",""
