"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","阳平关","Yangpingguan",,,,,
"02","阳平关东","Yangpingguan East",,,,,
"03","徐家坝","Xujiaba",,,,,
"04","代家坝","Daijiaba",,,,,
"05","响水","Xiangshui",,,,,
"06","宁强","Ningqiang",,,,,
"07","青羊驿","Qingyangyi",,,,,
"08","小寨","Xiaozhai",,,,,
"09","勉西","Mianxi",,,,,
"0a","勉县","Mianxian",,,,,
"0b","欧家坡","Oujiapo",,,,,
"0c","史寨","Shizhai",,,,,
"0d","褒河","Baohe",,,,,
"0e","汉中","Hanzhong",,,,,
"0f","王家坎","Wangjiakan",,,,,
"0g","治江","Zhijiang",,,,,
"0h","城固","Chenggu",,,,,
"0i","洋县","Yangxian",,,,,
"0j","晏家坝","Yanjiaba",,,,,
"0k","五堵门","Wudumen",,,,,
"0l","沙河坎","Shahekan",,,,,
"0m","马踪滩","Mazongtan",,,,,
"0n","贾家河","Jiajiahe",,,,,
"0o","西乡","Xixiang",,,,,
"0p","白龙塘","Bailongtang",,,,,
"0q","三花石","Sanhuashi",,,,,
"0r","茶镇","Chazhen",,,,,
"0s","缯溪河","Zengxihe",,,,,
"0t","石泉县","Shiquanxian",,,,,
"0u","池河","Chihe",,,,,
"0v","高粱铺","Gaoliangpu",,,,,
"0w","汉阴","Hanyin",,,,,
"0x","俞家沟","Yujiagou",,,,,
"0y","涧池铺","Jianchipu",,,,,
"0z","梅子铺","Maizipu",,,,,
"10","恒口","Hengkou",,,,,
"11","五里铺","Wulipu",,,,,
"12","安康","Ankang",,,,,
