"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","达州","Dazhou","0","","","",""
"02","达州东","Dazhou East","0","","","",""
"03","平桥","Pingqiao","0","","","",""
"04","亭子","Tingzi","0","","","",""
"05","大风","Dafeng","0","","","",""
"06","麻柳镇","Maliuzhen","0","","","",""
"07","葫芦潭","Hulutan","0","","","",""
"08","开江","Kaijiang","61","","","",""
"09","文化","Wenhua","0","","","",""
"0a","申家沟","Shenjiagou","0","","","",""
"0b","梁平","Liangping","89","","","",""
"0c","石板梁","Shibanliang","0","","","",""
"0d","关龙桥","Guanlongqiao","0","","","",""
"0e","分水寺","Fenshuisi","0","","","",""
"0f","三正","Sanzheng","0","","","",""
"0g","李河","Lihe","0","","","",""
"0h","万州西","Wanzhou West","0","","","",""
"0i","万州","Wanzhou","157","","","",""
