"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","井口","Jingkou","0","","","",""
"02","重庆北","Chongqing North","11","","","",""
"03","唐家沱","Tangjiatuo","22","","","",""
"04","鱼嘴","Yuzui","32","","","",""
"05","洛碛","Luoqi","58","","","",""
"06","长寿","Changshou","67","","","",""
"07","王家坝","Wangjiaba","75","","","",""
"08","蔺市","Linshi","93","","","",""
"09","涪陵西","Fulingxi","0","","","",""
"0a","涪陵","Fuling","111","","","",""
"0b","磨溪","Moxi","121","","","",""
"0c","白涛","Baitao","131","","","",""
"0d","白沙沱","Baishatuo","143","","","",""
"0e","白马","Baima","155","","","",""
"0f","土坎","Tukan","167","","","",""
"0g","武隆","Wulong","178","","","",""
"0h","中嘴","Zhongzui","185","","","",""
"0i","黄草场","Huangcaochang","0","","","",""
"0j","高谷","Gaogu","210","","","",""
"0k","彭水","Pengshui","227","","","",""
"0l","保家楼","Baojialou","237","","","",""
"0m","郁山","Yushan","247","","","",""
"0n","干溪沟","Ganxigou","258","","","",""
"0o","石子坝","Shiziba","269","","","",""
"0p","核桃园","Hetaoyuan","280","","","",""
"0q","黔江","Qianjiang","291","","","",""
"0r","冯家坝","Fengjiaba","0","","","",""
"0s","甘家坝","Ganjiaba","312","","","",""
"0t","鱼泉","Yuquan","324","","","",""
"0u","细沙","Xisha","0","","","",""
"0v","长潭沟","Changtangou","342","","","",""
"0w","泔溪","Ganxi","352","","","",""
"0x","麻旺","Mawang","362","","","",""
"0y","酉阳","Youyang","373","","","",""
"0z","小浩","Xiaohao","0","","","",""
"10","龙池","Longchi","399","","","",""
"11","秀山","Xiushan","417","","","",""
"12","梅江","Meijiang","435","","","",""
"13","兰桥","Lanqiao","0","","","",""
"14","松桃","Songtao","463","","","",""
"15","普觉","Pujue","0","","","",""
"16","沙坝村","Shabacun","0","","","",""
"17","桃映","Taoying","494","","","",""
"18","观音岭","Guanyinling","0","","","",""
"19","铜仁","Tongren","520","","","",""
"1a","铜仁东","Tongren East","0","","","",""
"1b","漾头","Yangtou","0","","","",""
"1c","郭公坪","Guogongping","0","","","",""
"1d","锦和","Jinhe","567","","","",""
"1e","齐天坪","Qitianping","0","","","",""
"1f","同田湾","Tongtianwan","0","","","",""
"1g","怀化","Huaihua","613","","","",""
