"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","六盘水","Liupanshui",,,,,
"02","曹家湾","Caojiawan",,,,,
"03","玉舍","Yushe",,,,,
"04","白鸡坡","Baijipo",,,,,
"05","都格","Duge",,,,,
"06","发耳","Fa'er",,,,,
"07","营街","Yingjie",,,,,
"08","茅草坪","Maocaoping",,,,,
"09","三家寨","Sanjiazhai",,,,,
"0a","雨格","Yuge",,,,,
"0b","松河","Songhe",,,,,
"0c","大营","Daying",,,,,
"0d","柏果","Baiguo",,,,,
"0e","月亮田","Yueliangtian",,,,,
"0f","盘关","Panguan",,,,,
"0g","平田","Pingtian",,,,,
"0h","花家庄","Huajiazhuang",,,,,
"0i","沙沱","Shatuo",,,,,
"0j","红果","Hongguo",,,,,
