"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","重庆","Chongqing",,,,,
"02","重庆南","Chongqing South",,,,,
"03","大渡口","Dadukou",,,,,
"04","茄子溪","Qiezixi",,,,,
"05","伏牛溪","Funiuxi",,,,,
"06","小南海","Xiaonanhai",,,,,
"07","珞璜","Luohuang",,,,,
"08","小南垭","Xiaonanya",,,,,
"09","七龙星","Qilongxing",,,,,
"0a","民福寺","Minfusi",,,,,
"0b","夏坝","Xiaba",,,,,
"0c","广兴","Guangxing",,,,,
"0d","綦江北","Qijiang North",,,,,
"0e","綦江","Qijiang",,,,,
"0f","转关口","Zhuanguankou",,,,,
"0g","三江","Sanjiang",,,,,
"0h","东升坝","Dongshengba",,,,,
"0i","两河口","Lianghekou",,,,,
"0j","镇紫街","Zhenzijie",,,,,
"0k","赶水北","Ganshui North",,,,,
"0l","赶水","Ganshui",,,,,
"0m","岔滩","Chatan",,,,,
"0n","石门坎","Shimenkan",,,,,
"0o","木竹河","Muzhuhe",,,,,
"0p","松坎","Songkan",,,,,
"0q","三元坝","Sanyuanba",,,,,
"0r","蒙渡","Mengdu",,,,,
"0s","太白","Taibai",,,,,
"0t","九龙塘","Jiulongtang",,,,,
"0u","大河坝","Daheba",,,,,
"0v","新场","Xinchang",,,,,
"0w","凉风垭","Liangfengya",,,,,
"0x","元田坝","Yuantianba",,,,,
"0y","桐梓","Tongzi",,,,,
"0z","红花园","Honghuayuan",,,,,
"10","娄山关","Loushanguan",,,,,
"11","汇塘河","Huitanghe",,,,,
"12","松坝","Songba",,,,,
"13","李家湾","Lijiawan",,,,,
"14","高炉子","Gaoluzi",,,,,
"15","遵义北","Zunyi North",,,,,
"16","遵义西","Zunyi West",,,,,
"17","南关镇","Nanguanzhen",,,,,
"18","南宫山","Nangongshan",,,,,
"19","南白镇","Nanbaizhen",,,,,
"1a","阁老坝","Gelaoba",,,,,
"1b","艾田","Aitian",,,,,
"1c","乌江","Wujiang",,,,,
"1d","董家坪","Dongjiaping",,,,,
"1e","养龙司","Yanglongsi",,,,,
"1f","小寨坝","Xiaozhaiba",,,,,
"1g","盘脚营","Panjiaoying",,,,,
"1h","息烽","Xifeng",,,,,
"1i","阳朗","Yanglang",,,,,
"1j","新萝村","Xinluocun",,,,,
"1k","久长","Jiuchang",,,,,
"1l","扎佐","Zhazuo",,,,,
"1m","大关冲","Daguanchong",,,,,
"1n","蓬莱","Penglai",,,,,
"1o","都拉营","Dulaying",,,,,
"1p","大寨","Dazhai",,,,,
"1q","黔灵山","Qianlingshan",,,,,
"1r","贵阳","Guiyang",,,,,
