"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","南宁","Nanning","0","","","",""
"02","南宁西","Nanning West","44","","","",""
"03","隆安东","Long'an East","83","","","",""
"04","平果","Pingguo","108","","","",""
"05","那何","Nahe","0","","","",""
"06","田东北","Tiandong North","168","","","",""
"07","田阳","Tianyang","192","","","",""
"08","百色","Baise","223","","","",""
"09","阳圩","Yangxu","256","","","",""
"0a","者桑","Zhesang","296","","","",""
"0b","富宁","Funing","343","","","",""
"0c","白腊寨","Bailazhai","0","","","",""
"0d","广南县","Guangnanxian","414","","","",""
"0e","珠琳","Zhulin","459","","","",""
"0f","普者黑","Puzhehei","506","","","",""
"0g","腻革龙","Nigelong","0","","","",""
"0h","弥勒东","Mile East","0","","","",""
"0i","弥勒","Mile","617","","","",""
"0j","石林西","Shilin West","660","","","",""
"0k","阳宗","Yangzong","695","","","",""
"0l","昆明南","Kunming South","709","","","",""
