"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","成都","Chengdu",,,,,
"02","八里","Bali",,,,,
"03","成都南","Chengdu South",,,,,
"04","双流","Shuangliu",,,,,
"05","公兴","Gongxing",,,,,
"06","花龙门","Hualongmen",,,,,
"07","普兴","Puxing",,,,,
"08","回龙庵","Huilong'an",,,,,
"09","岷江","Min River",,,,,
"0a","青龙场","Qinglongchang",,,,,
"0b","彭山","Pengshan",,,,,
"0c","太和","Taihe",,,,,
"0d","眉山","Meishan",,,,,
"0e","鲜滩","Xiantan",,,,,
"0f","思濛","Simeng",,,,,
"0g","吴场","Wuchang",,,,,
"0h","马村","Macun",,,,,
"0i","乐山北","Leshan North",,,,,
"0j","双福","Shuangfu",,,,,
"0k","青衣江","Qingyi River",,,,,
"0l","峨眉","Emei",,,,,
"0m","燕岗","Yangang",,,,,
"0n","九里","Jiuli",,,,,
"0o","沙湾","Shawan",,,,,
"0p","轸溪","Zhenxi",,,,,
"0q","刘沟","Liugou",,,,,
"0r","代湾","Daiwan",,,,,
"0s","杨漩","Yangxuan",,,,,
"0t","共和","Gonghe",,,,,
"0u","峨边","Ebian",,,,,
"0v","柏村","Baicun",,,,,
"0w","金口河","Jinkouhe",,,,,
"0x","关村坝","Guancunba",,,,,
"0y","长河坝","Changheba",,,,,
"0z","汉源","Hanyuan",,,,,
"10","大渡河","Dadu River",,,,,
"11","尼日","Niri",,,,,
"12","苏雄","Suxiong",,,,,
"13","凉红","Lianghong",,,,,
"14","埃岱","Aidai",,,,,
"15","甘洛","Ganluo",,,,,
"16","南尔岗","Nan'ergang",,,,,
"17","阿寨","Azhai",,,,,
"18","白果","Baiguo",,,,,
"19","白石岩","Baishiyan",,,,,
"1a","越西","Yuexi",,,,,
"1b","铁西","Tiexi",,,,,
"1c","下普雄","Xiapuxiong",,,,,
"1d","拉白","Labai",,,,,
"1e","普雄","Puxiong",,,,,
"1f","上普雄","Shangpuxiong",,,,,
"1g","尔赛河","Ersaihe",,,,,
"1h","尼波","Nibo",,,,,
"1i","乐武","Lewu",,,,,
"1j","红峰","Hongfeng",,,,,
"1k","沙马拉达","Shamalada",,,,,
"1l","瓦祖","Wazu",,,,,
"1m","铁口","Tiekou",,,,,
"1n","新凉","Xinliang",,,,,
"1o","联合乡","Lianhexiang",,,,,
"1p","喜德","Xide",,,,,
"1q","冕山","Mianshan",,,,,
"1r","新铁村","Xintiecun",,,,,
"1s","冕宁","Mianning",,,,,
"1t","漫水湾","Manshuiwan",,,,,
"1u","月华","Yuehua",,,,,
"1v","礼州","Lizhou",,,,,
"1w","西昌北","Xichang North",,,,,
"1x","西昌","Xichang",,,,,
"1y","西昌南","Xichang South",,,,,
"1z","经久","Jingjiu",,,,,
"20","黄联关","Huanglianguan",,,,,
"21","黄水塘","Huangshuitang",,,,,
"22","麻栗","Mali",,,,,
"23","黄家坝","Huangjiaba",,,,,
"24","德昌","Dechang",,,,,
"25","小高","Xiaogao",,,,,
"26","乐跃","Leyue",,,,,
"27","蒲坝","Puba",,,,,
"28","永郎","Yonglang",,,,,
"29","弯坵","Wanqiu",,,,,
"2a","青杠","Qinggang",,,,,
"2b","沙坝","Shaba",,,,,
"2c","米易","Miyi",,,,,
"2d","丙谷","Binggu",,,,,
"2e","垭口","Yakou",,,,,
"2f","枣子林","Zaozilin",,,,,
"2g","桐子林","Tongzilin",,,,,
"2h","牛坪子","Niupingzi",,,,,
"2i","三堆子","Sanduizi",,,,,
"2j","攀枝花","Panzhihua",,,,,
"2k","迤资","Yizi",,,,,
"2l","拉鲊","Lazha",,,,,
"2m","花棚子","Huapengzi",,,,,
"2n","新江","Xinjiang",,,,,
"2o","师庄","Shizhuang",,,,,
"2p","大湾子","Dawanzi",,,,,
"2q","红江","Hongjiang",,,,,
"2r","黄瓜园","Huangguayuan",,,,,
"2s","元谋","Yuanmou",,,,,
"2t","尹地","Yindi",,,,,
"2u","小月旧","Xiaoyuejiu",,,,,
"2v","羊臼河","Yangjiuhe",,,,,
"2w","小村","Xiaocun",,,,,
"2x","阿南庄","Ananzhuang",,,,,
"2y","龙骨甸","Longgudian",,,,,
"2z","黑井","Heijing",,,,,
"30","甸心","Dianxin",,,,,
"31","龙塘坝","Longtangba",,,,,
"32","甸尾","Dianwei",,,,,
"33","广通","Guangtong",,,,,
"34","大旧庄","Dajiuzhuang",,,,,
"35","一平浪","Yipinglang",,,,,
"36","禄丰","Lufeng",,,,,
"37","小路溪","Xiaoluxi",,,,,
"38","大德","Dade",,,,,
"39","勤丰营","Qinfengying",,,,,
"3a","青龙寺","Qinglongsi",,,,,
"3b","牧羊村","Muyangcun",,,,,
"3c","温泉","Wenquan",,,,,
"3d","读书铺","Dushupu",,,,,
"3e","碧鸡关","Bijiguan",,,,,
"3f","昆明西","Kunming West",,,,,
"3g","昆明","Kunming",,,,,
