"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","昆明南","Kunming South",,,,,
"02","化城","Huacheng",,,,,
"03","晋宁东","Jining East",,,,,
"04","渠东线路所","Qudong Signal Base",,,,,
"05","普家村线路所","Pujiacun Signal Base",,,,,
"06","宝峰","Baofeng",,,,,
"07","玉溪","Yuxi",,,,,
"08","玉溪南","Yuxi South",,,,,
"09","甸苴坝","Dianjuba",,,,,
"0a","通海","Tonghai",,,,,
"0b","柿花树","Shihuashu",,,,,
"0c","曲江","Qujiang",,,,,
"0d","李浩寨","Lihaozhai",,,,,
"0e","建水北","Jianshui North",,,,,
"0f","建水","Jianshui",,,,,
"0g","燕子洞","Yanzidong",,,,,
"0h","个旧","Gejiu",,,,,
"0i","蒙自北","Mengzi North",,,,,
"0j","长桥海","Changqiaohai",,,,,
"0k","蒙自","Mengzi",,,,,
"0l","朗敞寨","Langchangzhai",,,,,
"0m","新现","Xinxian",,,,,
"0n","屏边","Pingbian",,,,,
"0o","莲花滩","Lianhuatan",,,,,
"0p","瑶山","Yaoshan",,,,,
"0q","马度白","Madubai",,,,,
"0r","河口北","Hekou North",,,,,
