"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","通辽","Tongliao","0","","","zh1875932",""
"02","通辽北","Tongliao North","14","","","zh1875934",""
"03","昆都庙","Kundumiao","20","","","zh1875939",""
"04","舍伯吐","Shebotu","63","","","zh1875973",""
"05","毛告吐","Maogaotu","108","","","zh1875999",""
"06","扎鲁特","Jarud","156","","","zh1876009",""
"07","布敦化","Budunhua","197","","","zh1876059",""
"08","白音胡硕","Baiyinhushuo","204","","","zh1876060",""
"09","杜尔基","Du'erji","236","","","zh1876069",""
"0a","吐列毛杜","Tuliemaodu","292","","","zh1876106",""
"0b","西哲里木","Xizhelimu","317","","","zh1876111",""
"0c","哈日努拉","Harinula","365","","","zh1876124",""
"0d","云端","Yunduan","386","","","zh1876131",""
"0e","珠斯花","Zhusihua","401","","","zh1876132",""
"0f","霍林郭勒","Holingol","404","","","zh1876139",""
"0g","霍林河","Huolinhe","417","","","zh1876133",""
