"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","昌平","Changping","0","","","",""
"02","昌平北","Changping North","7","","","",""
"03","官高","Guangao","15","","","",""
"04","兴寿","Xingshou","25","","","",""
"05","平义分","Pingyifen","35","","","",""
"06","北宅","Beizhai","43","","","",""
"07","雁栖湖","Yanxihu","52","","","",""
"08","怀柔北","Huairou North","57","","","",""
"09","小水峪","Xiaoshuiyu","65","","","",""
"0a","黑山寺","Heishansi","72","","","",""
"0b","石塘路","Shitanglu","80","","","",""
"0c","密云水库","Miyun Reservoir","0","","","",""
"0d","燕落","Yanluo","89","","","",""
"0e","兵马营","Bingmaying","96","","","",""
"0f","下河","Xiahe","106","","","",""
"0g","古北口","Gubeikou","114","","","",""
"0h","流水沟","Liushuigou","116","","","",""
"0i","南大庙","Nandamiao","126","","","",""
"0j","猴山","Houshan","133","","","",""
"0k","虎什哈","Hushiha","140","","","",""
"0l","五道河","Wudaohe","148","","","",""
"0m","二道沟门","Erdaogoumen","156","","","",""
"0n","平坊","Pingfang","166","","","",""
"0o","滦平","Luanping","173","","","",""
"0p","窑上","Yaoshang","184","","","",""
"0q","张百湾","Zhangbaiwan","191","","","",""
"0r","金沟屯","Jingoutun","202","","","",""
"0s","滦河沿","Luanheyan","205","","","",""
"0t","梁底下","Liangdixia","213","","","",""
"0u","白旗","Baiqi","220","","","",""
"0v","超梁沟","Chaolianggou","229","","","",""
"0w","闹海营","Naohaiying","237","","","",""
"0x","隆化","Longhua","242","","","",""
"0y","河洛营","Heluoying","248","","","",""
"0z","汤头沟","Tangtougou","256","","","",""
"10","沙坨子","Shatuozi","264","","","",""
"11","张三营","Zhangsanying","273","","","",""
"12","东大坝","Dongdaba","284","","","",""
"13","庙宫","Miaogong","294","","","",""
"14","四合永","Siheyong","304","","","",""
"15","腰栈","Yaozhan","313","","","",""
"16","广德号","Guangdehao","318","","","",""
"17","银镇","Yinzhen","328","","","",""
"18","纪家沟","Jijiagou","338","","","",""
"19","黄家店","Huangjiadian","347","","","",""
"1a","朝阳地","Chaoyangdi","356","","","",""
"1b","五十家子","Wushijiazi","367","","","",""
"1c","杨家营","Yangjiaying","376","","","",""
"1d","老府","Laofu","383","","","",""
"1e","中台子","Zhongtaizi","392","","","",""
"1f","牛家营子","Niujiayingzi","400","","","",""
"1g","四分地","Sifendi","409","","","",""
"1h","红花沟","Honghuagou","416","","","",""
"1i","三把火","Sanbahuo","423","","","",""
"1j","曹家营子","Caojiayingzi","434","","","",""
"1k","北台子","Beitaizi","441","","","",""
"1l","赤峰","Chifeng","448","","","",""
"1m","赤峰南","Chifeng South","454","","","",""
"1n","赤峰东","Chifeng East","462","","","",""
"1o","东南营子","Dongnanyingzi","471","","","",""
"1p","水地","Shuidi","481","","","",""
"1q","安庆沟","Anqinggou","494","","","",""
"1r","风水沟","Fengshuigou","499","","","",""
"1s","山湾子","Shanwanzi","506","","","",""
"1t","小河沿","Xiaoheyan","518","","","",""
"1u","四道湾","Sidaowan","531","","","",""
"1v","莲花山","Lianhuashan","545","","","",""
"1w","孤山子","Gushanzi","557","","","",""
"1x","敖汉","Aohan","570","","","",""
"1y","木头营子","Mutouyingzi","582","","","",""
"1z","三义井","Sanyijing","594","","","",""
"20","新窝铺","Xinwopu","606","","","",""
"21","四合","Sihe","617","","","",""
"22","舍力虎","Shelihu","625","","","",""
"23","奈曼","Naiman","639","","","",""
"24","嘎什吐","Gashitu","647","","","",""
"25","昂乃","Angnai","660","","","",""
"26","白音他拉","Baiyintala","670","","","",""
"27","黄花筒","Huanghuatong","683","","","",""
"28","八仙筒","Baxiantong","693","","","",""
"29","敖来","Aolai","703","","","",""
"2a","东明村","Dongmingcun","709","","","",""
"2b","嘎什甸子","Gashidianzi","721","","","",""
"2c","治安","Zhi'an","734","","","",""
"2d","东来","Donglai","745","","","",""
"2e","瓦房","Wafang","755","","","",""
"2f","太平庄","Taipingzhuang","764","","","",""
"2g","余粮堡","Yuliangpu","773","","","",""
"2h","西六方","Xiliufang","783","","","",""
"2i","通辽西","Tongliao West","798","","","",""
"2j","通辽","Tongliao","804","","","",""
