"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","北京","Beijing",,,,,
"02","北京东","Beijing East",,,,,
"03","双桥","Shuangqiao",,,,,
"04","通州","Tongzhou",,,,,
"05","燕郊","Yanjiao",,,,,
"06","大厂县","Dachangxian",,,,,
"07","三平","Sanping",,,,,
"08","三河县","Sanhenxian",,,,,
"09","段甲岭","Duanjialing",,,,,
"0a","蓟州","Jizhou",,,,,
"0b","别山","Bieshan",,,,,
"0c","螺山","Luoshan",,,,,
"0d","玉田县","Yutianxian",,,,,
"0e","富庄子","Fuzhuangzi",,,,,
"0f","唐山北","Tangshan North",,,,,
"0g","银城铺","Yinchengpu",,,,,
"0h","狼窝铺","Langwopu",,,,,
"0i","石郎庄","Shilangzhuang",,,,,
"0j","福山寺","Fushansi",,,,,
"0k","马柳","Maliu",,,,,
"0l","杨各庄","Yanggezhuang",,,,,
"0m","滦县","Luanxian",,,,,
"0n","滦县东","Luanxian East",,,,,
"0o","朱各庄","Zhugezhuang",,,,,
"0p","石门","Shimen",,,,,
"0q","九龙山","Jiulongshan",,,,,
"0r","后封台","Houfengtai",,,,,
"0s","昌黎","Changli",,,,,
"0t","张家庄","Zhangjiazhuang",,,,,
"0u","留守营","Liushouying",,,,,
"0v","北戴河","Beidaihe",,,,,
"0w","南大寺","Nandasi",,,,,
"0x","秦皇岛","Qinhuangdao",,,,,
"0y","龙家营","Longjiaying",,,,,
"0z","龙家营线路所","Longjiaying Signal Base",,,,,
"10","山海关","Shanhaiguan",,,,,
"11","东戴河","Dongdaihe",,,,,
"12","绥中北","Suizhong North",,,,,
"13","葫芦岛北","Huludao North",,,,,
"14","锦州南","Jinzhou South",,,,,
"15","盘锦北","Panjin North",,,,,
"16","台安","Tai'an",,,,,
"17","辽中","Liaozhong",,,,,
"18","皇姑屯","Huanggutun",,,,,
"19","沈阳北","Shenyang North",,,,,
"1a","文官屯","Wenguantun",,,,,
"1b","虎石台","Hushitai",,,,,
"1c","新城子","Xinchengzi",,,,,
"1d","新台子","Xintaizi",,,,,
"1e","乱石山","Luanshishan",,,,,
"1f","得胜台","Deshengtai",,,,,
"1g","铁岭","Tieling",,,,,
"1h","平顶堡","Pingdingpu",,,,,
"1i","中固","Zhonggu",,,,,
"1j","开原","Kaiyuan",,,,,
"1k","马仲河","Mazhonghe",,,,,
"1l","昌图","Changtu",,,,,
"1m","双庙子","Shuangmiaozi",,,,,
"1n","毛家店","Maojiadian",,,,,
"1o","四平","Siping",,,,,
"1p","十家堡","Shijiapu",,,,,
"1q","郭家店","Guojiadian",,,,,
"1r","蔡家","Caijia",,,,,
"1s","大榆树","Dayushu",,,,,
"1t","公主岭","Gongzhuling",,,,,
"1u","陶家屯","Taojiatun",,,,,
"1v","范家屯","Fanjiatun",,,,,
"1w","大屯","Datun",,,,,
"1x","长春南","Changchun South",,,,,
"1y","长春","Changchun",,,,,
"1z","长春北","Changchun North",,,,,
"20","一间堡","Yijianpu",,,,,
"21","米沙子","Mishazi",,,,,
"22","沃皮","Wopi",,,,,
"23","布海","Buhai",,,,,
"24","德惠","Dehui",,,,,
"25","达家沟","Dajiagou",,,,,
"26","姚家","Yaojia",,,,,
"27","陶赖昭","Taolaizhao",,,,,
"28","团山","Tuanshan",,,,,
"29","扶余","Fuyu",,,,,
"2a","蔡家沟","Caijiagou",,,,,
"2b","兰棱","Lanleng",,,,,
"2c","双城堡","Shuangchengpu",,,,,
"2d","五家","Wujia",,,,,
"2e","王岗","Wanggang",,,,,
"2f","哈尔滨西","Harbin West",,,,,
"2g","哈尔滨","Harbin",,,,,
