"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","沈阳北","Shenyang North",,,,,
"02","铁岭西","Tieling West",,,,,
"03","开原西","Kaiyuan West",,,,,
"04","昌图西","Changtu West",,,,,
"05","四平东","Siping East",,,,,
"06","公主岭南","Gongzhuling South",,,,,
"07","长春西","Changchun West",,,,,
"08","崔家营子线路所","Cuijiayingzi Signal Base",,,,,
"09","德惠西","Dehui West",,,,,
"0a","扶余北","Fuyu North",,,,,
"0b","双城北","Shuangcheng North",,,,,
"0c","哈尔滨西","Harbin West",,,,,
"0d","哈尔滨","Harbin",,,,,
