"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","叶柏寿","Yebaishou","0","","","",""
"02","石脑","Shinao","12","","","",""
"03","沙海","Shahai","23","","","",""
"04","南洼","Nanwa","31","","","",""
"05","天义","Tianyi","38","","","",""
"06","二龙","Erlong","51","","","",""
"07","汐子","Xizi","63","","","",""
"08","乃林","Nailin","76","","","",""
"09","平庄南","Pingzhuang South","83","","","",""
"0a","平庄北","Pingzhuang North","92","","","",""
"0b","热水","Reshui","106","","","",""
"0c","元宝山","Yuanbaoshan","120","","","",""
"0d","马林","Malin","126","","","",""
"0e","赤峰东","Chifeng East","139","","","",""
"0f","赤峰南","Chifeng South","147","","","",""
