"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","沟帮子","Goubangzi","0","","","zh3067179",""
"02","五七","Wuqi","7","","","zh3067333",""
"03","友谊","Youyi","0","","","zh3067182",""
"04","盘锦","Panjin","31","","","zh3067183",""
"05","渤海","Bohai","38","","","zh3067184",""
"06","新开","Xinkai","54","","","zh3067185",""
"07","拉拉屯","Lalatun","63","","","zh3067186",""
"08","牛庄","Niuzhuang","80","","","zh3067188",""
"09","西柳","Xiliu","94","","","zh3067190",""
"0a","唐王山","Tangwangshan","101","","","zh3067191",""
"0b","海城","Haicheng","108","","","zh597767",""
