"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","大虎山","Dahushan",,,,,
"02","黑山","Heishan",,,,,
"03","芳山镇","Fangshanzhen",,,,,
"04","新立屯","Xinlitun",,,,,
"05","么荒","Mehuang",,,,,
"06","泡子","Paozi",,,,,
"07","彰武","Zhangwu",,,,,
"08","章古台","Zhanggutai",,,,,
"09","阿尔乡","A'erxiang",,,,,
"0a","甘旗卡","Ganqika",,,,,
"0b","衙门营","Yamenying",,,,,
"0c","木里图","Mulitu",,,,,
"0d","通辽西","Tongliao West",,,,,
"0e","通辽","Tongliao",,,,,
"0f","通辽东","Tongliao East",,,,,
"0g","五道木","Wudaomu",,,,,
"0h","钱家店","Qianjiadian",,,,,
"0i","乌斯土","Wusitu",,,,,
"0j","大林","Dalin",,,,,
"0k","大罕","Dahan",,,,,
"0l","门达","Menda",,,,,
"0m","欧里","Ouli",,,,,
"0n","白市","Baishi",,,,,
"0o","双辽","Shuangliao",,,,,
