"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","大连","Dalian","0","","","",""
"02","沙河口","Shahekou","4","","","",""
"03","周水子","Zhoushuizi","9","","","",""
"04","南关岭","Nanguanling","16","","","",""
"05","大连北","Dalian North","17","","","",""
"06","金州","Jinzhou","33","","","",""
"07","二十里台","Ershilitai","0","","","",""
"08","三十里堡","Sanshilipu","56","","","",""
"09","石河","Shihe","0","","","",""
"0a","普兰店","Pulandian","78","","","",""
"0b","田家","Tianjia","0","","","",""
"0c","瓦房店","Wafangdian","105","","","",""
"0d","王家","Wangjia","0","","","",""
"0e","得利寺","Delisi","0","","","",""
"0f","松树","Songshu","131","","","",""
"0g","万家岭","Wanjialing","0","","","",""
"0h","许家屯","Xujiatun","161","","","",""
"0i","九寨","Jiuzhai","0","","","",""
"0j","熊岳城","Xiongyuecheng","179","","","",""
"0k","芦家屯","Lujiatai","0","","","",""
"0l","沙岗","Shagang","0","","","",""
"0m","盖州","Gaizhou","210","","","",""
"0n","大石桥","Dashiqiao","240","","","",""
"0o","分水","Fenshui","0","","","",""
"0p","他山","Tashan","0","","","",""
"0q","葫芦峪","Huluyu","0","","","",""
"0r","唐王山","Tangwangshan","265","","","",""
"0s","海城","Haicheng","272","","","",""
"0t","南台","Nantai","281","","","",""
"0u","汤岗子","Tanggangzi","0","","","",""
"0v","旧堡","Jiupu","0","","","",""
"0w","鞍山","Anshan","308","","","",""
"0x","灵山","Lingshan","319","","","",""
"0y","首山","Shoushan","322","","","",""
"0z","辽阳","Liaoyang","333","","","",""
"10","张台子","Zhangtaizi","346","","","",""
"11","灯塔","Dengta","355","","","",""
"12","林盛堡","Linshengpu","372","","","",""
"13","苏家屯","Sujiatun","381","","","",""
"14","苏北","Subei","384","","","",""
"15","浑河","Hunhe","389","","","",""
"16","沈阳","Shenyang","397","","","",""
"17","沈阳北","Shenyang North","400","","","",""
