"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","凤凰城","Fenghuangcheng","0","","","",""
"02","叆河","Aihe","13","","","",""
"03","官家","Guanjia","18","","","",""
"04","大堡","Dabao","31","","","",""
"05","石城","Shicheng","42","","","",""
"06","铁佛寺","Tiefosi","48","","","",""
"07","边沟","Biangou","54","","","",""
"08","佟家","Tongjia","59","","","",""
"09","庙阳","Miaoyang","66","","","",""
"0a","天桥","Tianqiao","70","","","",""
"0b","灌水","Guanshui","82","","","",""
"0c","龙爪沟","Longzhuagou","94","","","",""
"0d","宽甸","Kuandian","111","","","",""
"0e","坦甸","Tandian","123","","","",""
"0f","永甸","Yongdian","134","","","",""
"0g","长甸","Changdian","143","","","",""
"0h","上河口","Shanghekou","154","","","",""
