"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","沈阳","Shenyang",,,,,
"02","沈阳北","Shenyang North",,,,,
"03","沈阳东","Shenyang East",,,,,
"04","东陵","Dongling",,,,,
"05","旧站","Jiuzhan",,,,,
"06","滴台","Ditai",,,,,
"07","抚顺北","Fushun North",,,,,
"08","前甸","Qiandian",,,,,
"09","章党","Zhangdang",,,,,
"0a","石门岭","Shimenling",,,,,
"0b","营盘","Yingpan",,,,,
"0c","铁背山","Tiebeishan",,,,,
"0d","南杂木","Nanzamu",,,,,
"0e","苍石","Cangshi",,,,,
"0f","南口前","Nankouqian",,,,,
"0g","北三家","Beisanjia",,,,,
"0h","斗虎屯","Douhutun",,,,,
"0i","清原","Qingyuan",,,,,
"0j","长山堡","Changshanbao",,,,,
"0k","英额门","Ying'emen",,,,,
"0l","兴隆河","Xinglonghe",,,,,
"0m","草市","Caoshi",,,,,
"0n","龙山","Longshan",,,,,
"0o","山城镇","Shanchengzhen",,,,,
"0p","黑山头","Heishantou",,,,,
"0q","宝山","Baoshan",,,,,
"0r","梅河口","Meihekou",,,,,
"0s","海龙","Hailong",,,,,
"0t","朝阳镇","Chaoyangzhen",,,,,
"0u","团林","Tuanlin",,,,,
"0v","石家","Shijia",,,,,
"0w","磐石","Panshi",,,,,
"0x","永宁","Yongning",,,,,
"0y","明城","Mingcheng",,,,,
"0z","烟筒山","Yantongshan",,,,,
"10","大梨树","Dalishu",,,,,
"11","取柴河","Quchaihe",,,,,
"12","双河镇","Shuanghezhen",,,,,
"13","长岗","Changgang",,,,,
"14","大黑山","Daheishan",,,,,
"15","西阳","Xiyang",,,,,
"16","口前","Kouqian",,,,,
"17","马相屯","Maxiangtun",,,,,
"18","吉林西","Jilin West",,,,,
"19","北山","Beishan",,,,,
"1a","吉林","Jilin",,,,,
