"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","梅河口","Meihekou","0","","","",""
"02","谢家","Xiejia","21","","","",""
"03","柳河","Liuhe","33","","","",""
"04","郑家堡","Zhengjiabao","41","","","",""
"05","驼腰岭","Tuoyaoling","52","","","",""
"06","五道沟","Wudaogou","60","","","",""
"07","三源浦","Sanyuanpu","75","","","",""
"08","通沟","Tonggou","88","","","",""
"09","干沟","Gangou","100","","","",""
"0a","二密河","Ermihe","114","","","",""
"0b","通化","Tonghua","130","","","",""
"0c","东通化","Dongtonghua","138","","","",""
"0d","水洞","Shuidong","146","","","",""
"0e","鸭园","Yayuan","151","","","",""
"0f","铁厂","Tiechang","157","","","",""
"0g","果松","Guosong","172","","","",""
"0h","石湖","Shihu","184","","","",""
"0i","老岭","Laoling","198","","","",""
"0j","黄柏","Huangbai","212","","","",""
"0k","西阳岔","Xiyangcha","222","","","",""
"0l","阳岔","Yangcha","231","","","",""
"0m","集安","Ji'an","245","","","",""
