"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","通化","Tonghua","0","","","",""
"02","通化县","Tonghuaxian","20","","","",""
"03","大泉源","Daquanyuan","0","","","",""
"04","古城子","Guchengzi","63","","","",""
"05","桓龙湖","Huanlonghu","0","","","",""
"06","五女山","Wunvshan","91","","","",""
"07","大雅河","Dayahe","113","","","",""
"08","花博山","Huaboshan","123","","","",""
"09","雅河","Yahe","135","","","",""
"0a","天桥沟","Tianqiaogou","157","","","",""
"0b","灌水","Guanshui","179","","","",""
