"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","长春","Changchun",,,,,
"02","长春东","Changchun East",,,,,
"03","龙泉","Longquan",,,,,
"04","兴隆山","Xinglongshan",,,,,
"05","卡伦","Kalun",,,,,
"06","龙家堡","Longjiabao",,,,,
"07","九台","Jiutai",,,,,
"08","营城","Yingcheng",,,,,
"09","土们岭","Tumenling",,,,,
"0a","左家","Zuojia",,,,,
"0b","桦皮厂","Huapichang",,,,,
"0c","孤店子","Gudianzi",,,,,
"0d","新九站","Xinjiuzhan",,,,,
"0e","九站","Jiuzhan",,,,,
"0f","哈达湾","Hadawan",,,,,
"0g","吉林","Jilin",,,,,
"0h","龙潭山","Longyuanshan",,,,,
"0i","江北","Jiangbei",,,,,
"0j","江密峰","Jiangmifeng",,,,,
"0k","天岗","Tiangang",,,,,
"0l","六道河","Liudaohe",,,,,
"0m","老爷岭","Laoyeling",,,,,
"0n","小姑家","Xiaogujia",,,,,
"0o","拉法","Lafa",,,,,
"0p","蛟河","Jiaohe",,,,,
"0q","苇塘","Weitang",,,,,
"0r","白石山","Baishishan",,,,,
"0s","二道河","Erdaohe",,,,,
"0t","黄松甸","Huangsongdian",,,,,
"0u","威虎岭","Weihuling",,,,,
"0v","黄泥河","Huangnihe",,,,,
"0w","秋梨沟","Qiuligou",,,,,
"0x","太平岭","Taipingling",,,,,
"0y","敦化","Dunhua",,,,,
"0z","大桥","Daqiao",,,,,
"10","大石头","Dashitou",,,,,
"11","哈尔巴岭","Ha'erbaling",,,,,
"12","南沟","Nangou",,,,,
"13","亮兵台","Liangbingtai",,,,,
"14","安图","Antu",,,,,
"15","茶条沟","Chatiaogou",,,,,
"16","榆树川","Yushuchuan",,,,,
"17","葆园","Baoyuan",,,,,
"18","铜佛寺","Tongfosi",,,,,
"19","朝阳川","Chaoyangchuan",,,,,
"1a","延吉","Yanji",,,,,
"1b","溪洞","Xidong",,,,,
"1c","磨盘山","Mopanshan",,,,,
"1d","苇子沟","Weizigou",,,,,
"1e","图们北","Tumen North",,,,,
"1f","图们","Tumen",,,,,
