"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","吉林","Jilin","0","","","zh914339",""
"02","龙潭山","Longyuanshan","0","","","zh1764435",""
"03","江北","Jiangbei","7","","","zh1121073",""
"04","吉林北","Jilin North","0","","","zh1765526",""
"05","棋盘","Qipan","19","","","zh1765519",""
"06","金珠","Jinzhu","25","","","zh1765159",""
"07","亚复","Yafu","30","","","zh1765164",""
"08","大口钦","Dakouqin","43","","","zh1765168",""
"09","前窑","Qianyao","48","","","zh1766467",""
"0a","丰广","Fengguang","59","","","zh1766473",""
"0b","吉舒","Jishu","69","","","zh1766480",""
"0c","东富","Dongfu","82","","","zh1766499",""
"0d","舒兰","Shulan","90","","","zh1768509",""
