"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","哈尔滨","Harbin","0","","","",""
"02","王兆屯","Wangzhaotun","5","","","",""
"03","香坊","Xiangfang","7","","","",""
"04","新香坊","Xinxiangfang","14","","","",""
"05","成高子","Chenggaozi","20","","","",""
"06","阿城","Acheng","41","","","",""
"07","亚沟","Yagou","52","","","",""
"08","玉泉","Yuquan","62","","","",""
"09","小岭","Xiaoling","79","","","",""
"0a","平山","Pingshan","89","","","",""
"0b","帽儿山","Mao'ershan","100","","","",""
"0c","乌吉密","Wujimi","0","","","",""
"0d","尚志","Shangzhi","141","","","",""
"0e","一面坡","Yimianpo","161","","","",""
"0f","万山","Wanshan","0","","","",""
"0g","苇河","Weihe","192","","","",""
"0h","亚布力","Yabuli","212","","","",""
"0i","鱼池","Yuchi","0","","","",""
"0j","开道","Kaidao","240","","","",""
"0k","虎峰","Hufeng","249","","","",""
"0l","杜草","Ducao","0","","","",""
"0m","治山","Zhishan","261","","","",""
"0n","横道河子","Hengdaohezi","272","","","",""
"0o","青岭子","Qinglingzi","294","","","",""
"0p","山市","Shanshi","304","","","",""
"0q","敖头","Aotou","323","","","",""
"0r","海林","Hailin","333","","","",""
"0s","拉古","Lagu","343","","","",""
"0t","牡丹江","Mudanjiang","355","","","",""
"0u","爱河","Aihe","366","","","",""
"0v","磨刀石","Modaoshi","377","","","",""
"0w","穆棱","Muling","421","","","",""
"0x","细鳞河","Xilinhe","0","","","",""
"0y","绥阳","Suiyang","471","","","",""
"0z","绥芬河","Suifenhe","492","","","",""
"10","国界(俄罗斯)","Border (Russia)","0","","","",""
