"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","林口","Linkou",,,,,
"02","杨木","Yangmu",,,,,
"03","奎山","Kuishan",,,,,
"04","西麻山","Ximashan",,,,,
"05","麻山","Mashan",,,,,
"06","新家","Xinjia",,,,,
"07","青龙","Qinglong",,,,,
"08","五龙","Wulong",,,,,
"09","兰岭","Lanling",,,,,
"0a","南甸村","Nandiancun",,,,,
"0b","滴道","Didao",,,,,
"0c","西鸡西","Xijixi",,,,,
"0d","鸡西","Jixi",,,,,
"0e","鸡东","Jidong",,,,,
"0f","东海","Donghai",,,,,
"0g","永安乡","Yong'anxiang",,,,,
"0h","黑台","Heitai",,,,,
"0i","连珠山","Lianzhushan",,,,,
"0j","密山西","Mishan West",,,,,
"0k","密山","Mishan",,,,,
"0l","裴德","Peide",,,,,
"0m","兴凯","Xingkai",,,,,
"0n","杨岗","Yanggang",,,,,
"0o","凯北","Kaibei",,,,,
"0p","卫星","Weixing",,,,,
"0q","宝东","Baodong",,,,,
"0r","虎林","Hulin",,,,,
"0s","迎春","Yingchun",,,,,
"0t","东方红","Dongfanghong",,,,,
