"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","京沪线","Beijing-Shanghai Line",,,,,
"03","京沪高速线","Beijing-Shanghai High-Speed Line",,,,,
"0e","合福高速线","Hefei-Fuzhou High-Speed Line",,,,,
"0h","胶济线","Qingdao-Jinan Line",,,,,
"0i","胶新线","Jiaozhou-Xinyi Line",,,,,
"0l","邯济线","Handan-Jinan Line",,,,,
"0n","胶济客运专线","Qingdao-Jinan Panssenger Line",,,,,
"0p","青烟直通线","Qingyan Connection Line",,,,,
"0q","烟荣联络线","Yantai-Rongcheng Connection Line",,,,,
"0t","济青高速线","Jinan-Qingdao High Speed Line",,,,,
"0x","淄东线","Zibo-Dongying Line",,,,,
"0y","辛泰线","Xindian-Taishan Line",,,,,
"0z","德大线","Dezhou-Dajiawa Line",,,,,
"11","龙烟线","Longkou-Yantai Line",,,,,
"12","蓝烟线","Lancun-Yantai Line",,,,,
"13","桃威线","Taocun-Weihai Line",,,,,
"14","磁莱线","Ciyao-Laiwu Railway",,,,,
"15","枣临线","Zaozhuang-Linyi Railway",,,,,
"16","新石线","Xinxiang-Yanzhou Line",,,,,
"17","符夹线","Fuliji-Jiahezhai Line",,,,,
"19","青阜线","Qinglongshan-Fuyang Line",,,,,
"1a","阜淮线","Fuyang-Huainan Line",,,,,
"1b","阜六线","Fuyang-Lu'an Line",,,,,
"1e","庐铜线","Lujiang-Tongling Line",,,,,
"1f","合九线","Hefei-Jiujiang Line",,,,,
"1g","新长线","Xinyi-Changxing Line",,,,,
"1j","宿淮线","Suzhou-Huai'an Line",,,,,
"1l","仙宁线","Xianlin-Nanjing Line",,,,,
"1m","宁安城际线","Nanjing-Anqing Passenger Line",,,,,
"1o","宁蓉线宁渝段","Nanjing-Chengdu Line (Nanjing-Chongqing Sec.)",,,,,
"1s","渭井线","Weituo-Jingkou Line",,,,,
"1t","兰渝线","Lanzhou-Chongqing Line",,,,,
"1v","成渝高速线","Chengdu-Chongqing High-Speed Line",,,,,
"1z","安庆线","Anqing Line",,,,,
"20","宁启线","Nanjing-Qidong Line",,,,,
"22","上海南线","Shanghai South Line",,,,,
"23","海洋线","Hai'an-Yangkougang Line",,,,,
"25","虹安线","Hongqiao-Anting Line",,,,,
"29","宁杭高速线","Nanjing-Hangzhou High-Speed Line",,,,,
"2d","金温线","Jinhua-Wenzhou Line",,,,,
"2h","怀衡线","Huaihua-Hengyang Line",,,,,
"2i","麻颜联络线","Mayan Connection Line",,,,,
"2j","沪昆线","Shanghai-Kunming Line",,,,,
"2k","金山线","Jinshan Line",,,,,
"2m","宣杭线","Xuancheng-Hangzhou Line",,,,,
"2n","杭州线","Hangzhou Line",,,,,
"2q","杭深线","Hangzhou-Shenzhen Line",,,,,
"2r","樟福线","Zhanglin-Fuzhou South Line",,,,,
"2t","深湛线江湛段","Shenzhen-Zhanjiang Line (Jiangmen-Maoming Sec.)",,,,,
"2w","金千线","Jinhua-Qiandaohu Line",,,,,
"2x","皖赣线","Anhui-Jiangxi Line",,,,,
"2y","鹰厦线","Yingtan-Xiamen Line",,,,,
"2z","峰福线","Hengfeng-Fuzhou Line",,,,,
"30","外南线","Waiyang-Nanping Line",,,,,
"31","漳龙线","Zhangping-Longchuan Line",,,,,
"32","龙漳线","Longyan-Zhangzhou Line",,,,,
"33","南龙线","Nanping-Longyan Line",,,,,
"34","南平北联络线","Nanping North Connection Line",,,,,
"35","龙岩西北联络线","Longyan South West Connection Line",,,,,
"38","赣瑞龙线","Ganzhou-Ruijin-Longyan Line",,,,,
"3b","湘潭城际线","Xiangtan Intercity Line",,,,,
"3g","赣韶线","Ganzhou-Shaoguan Line",,,,,
"3j","承隆线","Chengde-Longhua Line",,,,,
"3k","怀柔北线","Huairou North Line",,,,,
"3l","昌福线","Nanchang-Fuzhou Line",,,,,
"3m","永莆线","Yongtai-Putian Line",,,,,
"3n","昌九城际线","Nanchang-Jiujiang Intercity Railway",,,,,
"3p","抚江线","Fuzhou-Jiangbiancun Line",,,,,
"3r","长塘联络线","Changtang Connection Line",,,,,
"3t","津霸客运专线","Tianjin-Bazhou Passenger Line",,,,,
"3u","霸徐线","Bazhou-Xushui Line",,,,,
"3y","石太线","Shijiazhuang-Taiyuan Line",,,,,
"3z","石德线","Shijiangzhuang-Dezhou Line",,,,,
"40","石济客专线","Shijiazhuang-Jinan Passenger Line",,,,,
"41","齐河联络线","Qihe Connection Line",,,,,
"42","大郑庄联络线","Dazhengzhuang Connection Line",,,,,
"43","北辛店联络线","Beixindian Connection Line",,,,,
"44","石家庄东联络线","Shijiazhuangdong Connection Line",,,,,
"45","邯长线","Handan-Changzhi Line",,,,,
"47","石太客运专线","Shijiazhuang-Taiyuan Passenger Line",,,,,
"48","石获线","Shijiazhuang-Huolu Line",,,,,
"49","太中线","Taiyuan-Zhongwei Line",,,,,
"4b","定银线","Dingbian-Yinchuan Line",,,,,
"4g","漯宝线","Luohe-Baofeng Line",,,,,
"4h","麻武线","Macheng-Wuhan Line",,,,,
"4i","长荆线","Changjiangbu-Jingmen Line",,,,,
"4p","武孝城际线","Wuhan-Xiaogan Intercity Line",,,,,
"4q","汉丹线","Wuhan-Danjiangkou Line",,,,,
"4r","下隔线","Xiexindian-Gepu Line",,,,,
"4s","武九线","Wuhan-Jiujiang Line",,,,,
"4z","汤阴东联络线","Tangyin East Connection Line",,,,,
"50","广珠城际线","Guangzhou-Zhuhai Intercity Line",,,,,
"51","江门线","Jiangmen Line",,,,,
"52","广深港高速线","Guangzhou-Shenzhen-Hong Kong Express Line",,,,,
"54","郑州东西南联络线","Zhengzhou East Southwest Connection Line",,,,,
"55","郑州东北联络线","Zhongzhou East North Connection Line",,,,,
"59","武冈城际线","Wuhan-Huanggang Intercity Line",,,,,
"5a","郑开城际线","Zhengzhou-Kaifeng Intercity Line",,,,,
"5c","郑机城际线","Zhengzhou-Xinzheng Airport Intercity Line",,,,,
"5g","衢九线","Quzhou-Jiujiang Line",,,,,
"5i","石长线","Shimen-Changsha Line",,,,,
"5j","广深线","Guangzhou-Shenzhen Line",,,,,
"5k","平南线","Pingnan Line",,,,,
"5m","德州东联络线","Dezhou East Connection Line",,,,,
"5n","畲龙线","Shejiang-Longhu Line",,,,,
"5o","广茂线","Guangzhou-Maoming Line",,,,,
"5r","广惠城际线东小段","Guangzhou-Huizhou Intercity Line (Dongguan-Xiaojinkou Sec.)",,,,,
"5s","龙湖联络线","Longhu Connection Line",,,,,
"5u","焦柳线","Jiaozuo-Liuzhou Line",,,,,
"5w","万凉线","Wanzhou-Liangwu Line",,,,,
"5x","鸦宜线","Yaqueling-Yichang Line",,,,,
"60","京包线","Beijing-Baotou Line",,,,,
"61","集通线","Jining-Tongliao Line",,,,,
"62","锡桑线","Xilinhot-Sanggendalai Line",,,,,
"63","康延线","Kangzhuang-Yanqing Line",,,,,
"64","沙岭子联络线","Shalingzi Connection Line",,,,,
"65","集包线","Jining-Baotou Line",,,,,
"66","呼鄂线","Hohhot-Ordos Line",,,,,
"67","锡乌线锡霍段","Xilinhot-Ulan Hot Line (Xilinhot-Huolinhe Sec.)",,,,,
"68","锡乌线哈忙段","Xilinhot-Ulan Hot Line (Harinula-Manghantun Sec.)",,,,,
"69","锡二线","Xilinhot-Erenhot Line",,,,,
"6b","集二线","Jining-Erenhot Line",,,,,
"6c","张集线","Zhangjiakou-Jining Line",,,,,
"6d","郭查线","Guo'erben'aobao-Chagannao'er Line",,,,,
"6f","包环线","Baotou Loop Line",,,,,
"6g","包兰线","Baotou-Lanzhou Line",,,,,
"6h","吉兰泰线","Jilantai Line",,,,,
"6i","平汝线","Pingluo-Rujigou Line",,,,,
"6k","干武线","Gantang-Wuwei Line",,,,,
"6l","红会线","Honghui Line",,,,,
"6m","北同蒲线","Datong-Puzhou Line North Sec.",,,,,
"6n","宁岢线","Ningwu-Kelan Line",,,,,
"6o","韩原线","Hanjiangling-Yuanping Line",,,,,
"6q","太兴线","Taiyuan-Xingxian Line",,,,,
"6s","南同蒲线","Datong-Puzhou Line South Sec.",,,,,
"6t","介西线","Jiexiu-Yangquanqu Line",,,,,
"6v","北芝线","Beiyuan-Zhiyang Line",,,,,
"6w","徐兰高速线","Xuzhou-Lanzhou High-Speed Line",,,,,
"6x","徐州东联络线","Xuzhou East Connection Line",,,,,
"6y","铜山联络线","Tongshan Connection Line",,,,,
"6z","郑荥线","Zhengzhou-Xingyang Line",,,,,
"70","临窑线","Lintong East-Yaocun Line",,,,,
"73","西平线","Xi'an-Pingliang Line",,,,,
"74","西康线","Xi'an-Ankang Line",,,,,
"76","包西线","Baotou-Xi'an Line",,,,,
"77","神大线","Shenmu-Dabaodang Line",,,,,
"78","甘钟线","Ganquan-Zhongjiacun Line",,,,,
"7a","神朔线","Shenmu-Shuozhou Line",,,,,
"7c","小厉线","Xiaolin-Lishan Line",,,,,
"7g","包神线","Baotou-Shenmu Line",,,,,
"7j","兰新线","Lanzhou-Xinjiang Railway",,,,,
"7k","兰新客运专线","Lanzhou-Xinjiang Passenger Line",,,,,
"7l","大河沿联络线","Daheyan Connection Line",,,,,
"7m","柳沟南联络线","Liugounan Connection Line",,,,,
"7q","奎北线","Kuytun-Beitun Line",,,,,
"7r","精霍线","Jinghe-Khorgos Line",,,,,
"7s","北阿线","Beitun-Altay Line",,,,,
"7t","兰青线","Lanzhou-Qinghai Line",,,,,
"7w","嘉镜线","Jiayuguan-Jingtieshan Line",,,,,
"7z","茶卡线","Chaka Line",,,,,
"80","南疆线","Southern Xinjiang Line",,,,,
"83","喀和线","Kashgar-Hotan Line",,,,,
"86","益湛线永电段","Yiyang-Zhanjian Line (Yongzhou-Dianbai Sec.)",,,,,
"87","马玉线","Maluxu-Yulin Line",,,,,
"88","韶山线","Shaoshan Line",,,,,
"89","益永线","Yiyang-Yongzhou Line",,,,,
"8b","湘桂线","Hunan-Guangxi Line",,,,,
"8c","黎湛线","Litang-Zhanjiang Line",,,,,
"8e","河茂线","Hechun-Maoming Line",,,,,
"8f","南防线","Nanning-Fangchenggang Railway",,,,,
"8h","湛海线","Zhanjiang-Hai'an Line",,,,,
"8i","粤海轮渡线","Yuehai Rail Ferry",,,,,
"8j","海南西环线","Hainan Western Ring Line",,,,,
"8l","衡柳线","Hengyang-Liuzhou Line",,,,,
"8o","邕北线","Nanning-Beihai Line",,,,,
"8u","黔桂线","Guizhou-Guangxi Line",,,,,
"8v","郫彭线","Pixian-Pengzhou Line",,,,,
"8w","成雅线","Chengdu-Ya'an Line",,,,,
"8x","成都西环线","Chengdu West Ring Line",,,,,
"8y","贵广客运专线","Guiyang-Guangzhou High-Speed Line",,,,,
"96","贵开城际线","Guiyang-Kaiyang Intercity Line",,,,,
"97","成灌线","Chengdu-Dujiangyan Line",,,,,
"98","离堆公园线","Lidui Park Line",,,,,
"99","宝成线","Baoji-Chengdu Line",,,,,
"9a","成渝线","Chengdu-Chongqian Line",,,,,
"9b","阳安线","Yangpingguan-Ankang Line",,,,,
"9d","达万线","Dazhou-Wanzhou Line",,,,,
"9e","渝怀线","Chongqing-Huaihua Line",,,,,
"9g","吉玉线铜玉段","Jishou-Yuping Line (Tongren-Yuping Sec.)",,,,,
"9h","隆黄线黄织段","Longchang-Huangtong Line (Huangtong-Zhijin Sec.)",,,,,
