"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","齐齐哈尔","Qiqihar","0","","","zh1449811",""
"02","高头","Gaotou","10","","","zh4052691",""
"03","冯屯","Fengtun","17","","","zh4052693",""
"04","塔哈","Taha","30","","","zh4052704",""
"05","群力","Qunli","39","","","zh4052706",""
"06","中和","Zhonghe","49","","","zh3689497",""
"07","哈川","Hachuan","55","","","zh4052711",""
"08","富裕","Fuyu","63","","","zh2852594",""
"09","富海","Fuhai","96","","","zh4053634",""
"0a","依安","Yi'an","129","","","zh4053640",""
"0b","古城","Gucheng","161","","","zh1818782",""
"0c","克山","Keshan","175","","","zh4053654",""
"0d","克东","Kedong","207","","","zh4053665",""
"0e","北安","Bei'an","231","","","zh4020327",""
