"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","四平","Siping","0","","","zh598521",""
"02","泉沟","Quangou","11","","","zh1893405",""
"03","八面城","Bamiancheng","28","","","zh1893410",""
"04","曲家店","Qujiadian","39","","","zh1893413",""
"05","三江口","Sanjiangkou","64","","","zh1893418",""
"06","金宝屯","Jinbaotun","76","","","zh1893419",""
"07","双辽","Shuangliao","90","","","zh1431613",""
"08","卧虎屯","Wohutun","116","","","zh1893424",""
"09","茂林","Maolin","151","","","zh1893429",""
"0a","保康","Baokang","170","","","zh1893430",""
"0b","太平川","Taipingchuan","204","","","zh1883987",""
"0c","通榆","Tongyu","253","","","zh1893438",""
"0d","黑水","Heishui","305","","","zh1893443",""
"0e","洮南","Taonan","321","","","zh1893445",""
"0f","穆家店","Mujiadian","353","","","zh1893447",""
"0g","白城","Baicheng","391","","","zh1878963",""
"0h","镇赉","Zhenlai","431","","","zh1893452",""
"0i","坦途","Tantu","444","","","zh1893455",""
"0j","街基","Jieji","455","","","zh1893456",""
"0k","泰来","Tailai","460","","","zh1893457",""
"0l","平洋","Pingyang","468","","","zh1893460",""
"0m","江桥","Jiangqiao","481","","","zh1893462",""
"0n","大兴","Daxing","503","","","zh3321320",""
"0o","汤池","Tangchi","516","","","zh1893465",""
"0p","三间房","Sanjianfang","528","","","zh1778239",""
"0q","榆树屯","Yushutun","541","","","zh1893466",""
"0r","大民屯","Damintun","549","","","zh1893468",""
"0s","齐齐哈尔南","Qiqihar South","562","","","zh3998249",""
"0t","齐齐哈尔","Qiqihar","571","","","zh1449811",""
