"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","通辽","Tongliao","0","","","zh1875932",""
"02","通辽东","Tongliao East","8","","","zh1883949",""
"03","高林屯","Gaolintun","40","","","zh1883974",""
"04","宝龙山","Baolongshan","63","","","zh1883979",""
"05","敖力布告","Aolibugao","96","","","zh1883983",""
"06","太平川","Taipingchuan","121","","","zh1883987",""
"07","长青","Changqing","0","","","zh6207852",""
"08","庆丰","Qingfeng","151","","","zh1883991",""
"09","巨宝","Jubao","163","","","zh1883993",""
"0a","工农湖","Gongnonghu","187","","","zh1883996",""
"0b","官字井","Guanzijing","208","","","zh1883999",""
"0c","乾安","Qian'an","221","","","zh1884002",""
"0d","海坨子","Haituozi","245","","","zh1884005",""
"0e","建设","Jianshe","267","","","zh3323133",""
"0f","大安北","Da'an North","276","","","zh1884008",""
"0g","他石海","Tashihai","289","","","zh1884009",""
"0h","新肇","Xinzhao","303","","","zh1884011",""
"0i","劳动屯","Laodongtun","324","","","zh1884013",""
"0j","太阳升","Taiyangsheng","332","","","zh1884014",""
"0k","立志","Lizhi","338","","","zh1884015",""
"0l","向阳村","Xiangyangcun","345","","","zh1884016",""
"0m","新华屯","Xinhuatun","355","","","zh1884017",""
"0n","兴无","Xingwu","365","","","zh1884018",""
"0o","八村","Bacun","375","","","zh1884020",""
"0p","林源","Linyuan","381","","","zh1884021",""
"0q","创业村","Chuangyecun","388","","","zh1884022",""
"0r","银浪","Yinlang","399","","","zh1884023",""
"0s","独立屯","Dulitun","408","","","zh1884024",""
"0t","壮志","Zhuangzhi","416","","","zh1884025",""
"0u","大庆西","Daqing West","421","","","zh1875168",""
