"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","长春","Changchun","0","","","",""
"02","长春北","Changchun North","8","","","",""
"03","小合隆","Xiaohelong","20","","","",""
"04","开安","Kai'an","35","","","",""
"05","华家","Huajia","50","","","",""
"06","农安","Nong'an","66","","","",""
"07","柴岗","Chaigang","0","","","",""
"08","哈拉海","Halahai","94","","","",""
"09","王府","Wangfu","118","","","",""
"0a","七家子","Qijiazi","139","","","",""
"0b","松原","Songyuan","150","","","",""
"0c","松西","Songxi","158","","","",""
"0d","通途","Tongtu","0","","","",""
"0e","查干湖","Chaganhu","182","","","",""
"0f","长山屯","Changshantun","189","","","",""
"0g","大安","Da'an","213","","","",""
"0h","大安西","Da'an West","225","","","",""
"0i","两家","Liangjia","241","","","",""
"0j","安广","Anguang","255","","","",""
"0k","来福","Laifu","0","","","",""
"0l","舍力","Sheli","290","","","",""
"0m","到保","Daobao","305","","","",""
"0n","白城","Baicheng","333","","","",""
