"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","白城","Baicheng",,,,,
"02","白城北","Baicheng North",,,,,
"03","平台","Pingtai",,,,,
"04","平安镇","Ping'anzhen",,,,,
"05","镇西","Zhenxi",,,,,
"06","葛根庙","Gegenmiao",,,,,
"07","卫东","Weidong",,,,,
"08","宁家","Ningjia",,,,,
"09","乌兰浩特","Ulan Hot",,,,,
"0a","乌兰浩特北","Ulan Hot North",,,,,
"0b","归流河","Guiliuhe",,,,,
"0c","忙罕屯","Manghantun",,,,,
"0d","大石寨","Dashizhai",,,,,
"0e","猛鹫山","Mengjiushan",,,,,
"0f","德伯斯","Debosi",,,,,
"0g","索伦","Suolun",,,,,
"0h","明水河","Mingshuihe",,,,,
"0i","五叉沟","Wuchagou",,,,,
"0j","牛汾台","Niufentai",,,,,
"0k","白狼","Bailang",,,,,
"0l","南兴安","Nanxing'an",,,,,
"0m","北兴安","Beixing'an",,,,,
"0n","阿尔山","Arxan",,,,,
"0o","伊尔施南线路所","Yi'ershi South Signal Base",,,,,
"0p","伊尔施","Yi'ershi",,,,,
