"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","哈尔滨","Harbin",,,,,
"02","庙台子","Miaotaizi",,,,,
"03","哈尔滨北","Harbin North",,,,,
"04","万乐","Wanle",,,,,
"05","对青山","Duiqingshan",,,,,
"06","里木店","Limudian",,,,,
"07","姜家","Jiangjia",,,,,
"08","肇东","Zhaodong",,,,,
"09","尚家","Shangjia",,,,,
"0a","宋","Song",,,,,
"0b","羊草","Yangcao",,,,,
"0c","安达","Anda",,,,,
"0d","卧里屯","Wolitun",,,,,
"0e","大庆东","Daqing East",,,,,
"0f","大庆","Daqing",,,,,
"0g","大庆西","Daqing West",,,,,
"0h","喇嘛甸","Lamadian",,,,,
"0i","高家","Gaojia",,,,,
"0j","杜尔伯特","Dorbod",,,,,
"0k","烟筒屯","Yantongtun",,,,,
"0l","红旗营","Hongqiying",,,,,
"0m","昂昂溪","Ang'angxi",,,,,
"0n","嫩江","Nen River",,,,,
"0o","富拉尔基","Fula'erji",,,,,
"0p","虎尔虎拉","Hu'erhula",,,,,
"0q","白山乡","Baishanxiang",,,,,
"0r","龙江","Longjiang",,,,,
"0s","鲁河","Luhe",,,,,
"0t","碾子山","Nianzishan",,,,,
"0u","吉新河","Jixinhe",,,,,
"0v","成吉思汗","Chengjisihan",,,,,
"0w","高台子","Gaotaizi",,,,,
"0x","扎兰屯","Zhalantun",,,,,
"0y","卧牛河","Woniuhe",,,,,
"0z","哈拉苏","Halasu",,,,,
"10","南木","Nanmu",,,,,
"11","巴林","Balin",,,,,
"12","喇嘛山","Lamashan",,,,,
"13","雅鲁","Yalu",,,,,
"14","沟口","Goukou",,,,,
"15","博克图","Boketu",,,,,
"16","兴安岭","Xing'anling",,,,,
"17","伊列克得","Yiliekede",,,,,
"18","西岭口","Xilingkou",,,,,
"19","乌奴耳","Wunu'er",,,,,
"1a","三根河","Sangenhe",,,,,
"1b","免渡河","Mianduhe",,,,,
"1c","卓山","Zhuoshan",,,,,
"1d","牙克石","Yakeshi",,,,,
"1e","海满","Haiman",,,,,
"1f","大雁","Dayan",,,,,
"1g","扎罗木得","Zhaluomude",,,,,
"1h","顺河","Shunhe",,,,,
"1i","哈克","Hake",,,,,
"1j","海拉尔南","Hailar South",,,,,
"1k","海拉尔东","Hailar East",,,,,
"1l","海拉尔","Hailar",,,,,
"1m","安邑","Anyi",,,,,
"1n","乌固诺尔","Wugunuo'er",,,,,
"1o","完工","Wangong",,,,,
"1p","赫尔洪得","He'erhongde",,,,,
"1q","嵯岗","Cuogang",,,,,
"1r","扎赉诺尔","Zhalainuo'er",,,,,
"1s","扎赉诺尔西","Zhalainuo'er West",,,,,
"1t","胪滨","Lubin",,,,,
"1u","满洲里","Manzhouli",,,,,
"1v","国界(俄罗斯)","Border (Russia)",,,,,
