"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","伊敏","Yimin","0","","","",""
"02","伊敏索木","Yiminsuomu","23","","","",""
"03","德仁","Deren","45","","","",""
"04","辉河","Huihe","67","","","",""
"05","温根托海","Wengentuohai","78","","","",""
"06","巴日图","Baritu","100","","","",""
"07","道老杜","Daolaodu","121","","","",""
"08","罕达盖","Handagai","143","","","",""
"09","杜拉尔","Dula'er","165","","","",""
"0a","阿尔山北","Arxan North","183","","","",""
"0b","伊尔施南线路所","Yi'ershi South Signal Base","0","","","",""
"0c","阿尔山","Arxan","200","","","",""
