"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","哈尔滨","Harbin","0","","","",""
"02","哈尔滨北","Harbin North","13","","","",""
"03","肇东","Zhaodong","62","","","",""
"04","安达","Anda","127","","","",""
"05","大庆东","Daqing East","148","","","",""
"06","大庆西","Daqing West","170","","","",""
"07","杜尔伯特","Dorbod","212","","","",""
"08","红旗营东","Hongqiying East","0","","","",""
"09","齐齐哈尔南","Qiqihar South","279","","","",""
"0a","齐齐哈尔","Qiqihar","286","","","",""
