"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","富裕","Fuyu",,,,,
"02","小榆树","Xiaoyushu",,,,,
"03","二道湾","Erdaowan",,,,,
"04","青水山","Qingshuishan",,,,,
"05","团结","Tuanjie",,,,,
"06","拉哈","Laha",,,,,
"07","光明","Guangming",,,,,
"08","六合镇","Liuhezhen",,,,,
"09","八方","Bafang",,,,,
"0a","讷河","Nehe",,,,,
"0b","恒地营","Hengdiying",,,,,
"0c","老莱","Laolai",,,,,
"0d","伊拉哈","Yilaha",,,,,
"0e","九三","Jiusan",,,,,
"0f","弯道","Wandao",,,,,
"0g","鹤山","Heshan",,,,,
"0h","新高峰","Xingaofeng",,,,,
"0i","新彦","Xinyan",,,,,
"0j","嫩江","Nenjiang",,,,,
"0k","哈达阳","Hadayang",,,,,
"0l","哈力图","Halitu",,,,,
"0m","小黑山","Xiaoheishan",,,,,
"0n","红彦","Hongyan",,,,,
"0o","杨木山","Yangmushan",,,,,
"0p","达拉滨","Dalabin",,,,,
"0q","大杨树东","Dayangshu East",,,,,
"0r","大杨树","Dayangshu",,,,,
"0s","春亭阁","Chuntingge",,,,,
"0t","乌鲁布铁","Wulubutie",,,,,
"0u","朝阳村","Chaoyangcun",,,,,
"0v","讷尔克气","Ne'erkeqi",,,,,
"0w","白桦排","Baihuapai",,,,,
"0x","加南","Jianan",,,,,
"0y","加格达奇","Jagdaqi",,,,,
"0z","松树林","Songshulin",,,,,
"10","翠峰","Cuifeng",,,,,
"11","小扬气","Xiaoyangqi",,,,,
"12","古源","Guyuan",,,,,
"13","大扬气","Dayangqi",,,,,
"14","劲松","Jinsong",,,,,
"15","新天","Xintian",,,,,
"16","太阳沟","Taiyanggou",,,,,
"17","塔源","Tayuan",,,,,
"18","林海","Linhai",,,,,
"19","新林","Xinlin",,,,,
"1a","大乌苏","Dawusu",,,,,
"1b","碧州","Bizhou",,,,,
"1c","翠岗","Cuigang",,,,,
"1d","塔尔根","Ta'ergen",,,,,
"1e","塔河","Tahe",,,,,
"1f","绣峰","Xiufeng",,,,,
"1g","瓦拉干","Walagan",,,,,
"1h","蒙克山","Mengkeshan",,,,,
"1i","盘古","Pangu",,,,,
"1j","樟岭","Zhangling",,,,,
"1k","聂河","Niehe",,,,,
"1l","长缨","Changying",,,,,
"1m","阿木尔","Amu'er",,,,,
"1n","图强","Tuqiang",,,,,
"1o","育英","Yuying",,,,,
"1p","漠河","Mohe",,,,,
"1q","古莲","Gulian",,,,,
