"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"aw","Aruba","Aruba",,,,,
"bf","Burkina Faso","Burkina Faso",,,,,
"cn","中华人民共和国","China",,,,,
"ec","Ecuador","Ecuador",,,,,
"gg","Guernsey","Guernsey",,,,,
"jp","日本","Japan",,,,,
"kr","대한민국","South Korea",,,,,
"la","ລາວ","Laos",,,,,
"li","Liechtenstein","Liechtenstein",,,,,
"mc","Monaco","Monaco",,,,,
"mo","澳門","Macao",,,,,
"ph","Pilipinas","Philippines",,,,,
"sg","Singapore","Singapore",,,,,
"th","ประเทศไทย","Thailand",,,,,
"tw","中華民國","Republic of China",,,,,
"vn","Việt Nam","Vietnam",,,,,
