"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","San Lorenzo","San Lorenzo",,,,,
"02","Najurungo","Najurungo",,,,,
"03","La Boca","La Boca",,,,,
"04","San Javier","San Javier",,,,,
"05","Cachavi/El Progreso","Cachavi/El Progreso",,,,,
"06","Alto Tambo","Alto Tambo",,,,,
"07","Lita","Lita",,,,,
"08","Carolina","Carolina",,,,,
"09","Primer Paso","Primer Paso",,,,,
"0a","Carchi","Carchi",,,,,
"0b","Cabuyal","Cabuyal",,,,,
"0c","Tulquizán","Tulquizán",,,,,
"0d","Palacara Desvío","Palacara Desvío",,,,,
"0e","Salinas","Salinas",,,,,
"0f","Hoja Blanca","Hoja Blanca",,,,,
"0g","Imbaya","Imbaya",,,,,
"0h","Ibarra","Ibarra",,,,,
"0i","San Antonio","San Antonio",,,,,
"0j","Andrade Marín","Andrade Marín",,,,,
"0k","San Roque","San Roque",,,,,
"0l","Otavalo","Otavalo",,,,,
"0m","Quito","Quito",,,,,
"0n","Santa Rosa","Santa Rosa",,,,,
"0o","Tambillo","Tambillo",,,,,
"0p","Aloag","Aloag",,,,,
"0q","Machachi","Machachi",,,,,
"0r","Chaupi","Chaupi",,,,,
"0s","El Boliche","El Boliche",,,,,
"0t","Lasso","Lasso",,,,,
"0u","Avelino","Avelino",,,,,
"0v","Guaytacama","Guaytacama",,,,,
"0w","Latacunga","Latacunga",,,,,
"0x","Salcedo","Salcedo",,,,,
"0y","Yambo","Yambo",,,,,
"0z","Ambato","Ambato",,,,,
"10","Huachi","Huachi",,,,,
"11","Cevallos","Cevallos",,,,,
"12","Mocha","Mocha",,,,,
"13","Urbina","Urbina",,,,,
"14","Montalvo","Montalvo",,,,,
"15","Luisa","Luisa",,,,,
"16","Córdova","Córdova",,,,,
"17","Riobamba","Riobamba",,,,,
"18","San Juan Chico","San Juan Chico",,,,,
"19","Cajabamba","Cajabamba",,,,,
"1a","Colta","Colta",,,,,
"1b","Mancheno","Mancheno",,,,,
"1c","Miraflores","Miraflores",,,,,
"1d","Columbe","Columbe",,,,,
"1e","Guamote","Guamote",,,,,
"1f","Inca","Inca",,,,,
"1g","Palmira","Palmira",,,,,
"1h","Carolina","Carolina",,,,,
"1i","Tixán","Tixán",,,,,
"1j","Alausí","Alausí",,,,,
"1k","Chiripungo","Chiripungo",,,,,
"1l","Piedra Grande","Piedra Grande",,,,,
"1m","Zigzag Alto","Zigzag Alto",,,,,
"1n","Nariz del Diablo","Nariz del Diablo",,,,,
"1o","Sibambe","Sibambe",,,,,
"1p","Huigra","Huigra",,,,,
"1q","Ventura","Ventura",,,,,
"1r","Naranjapata","Naranjapata",,,,,
"1s","Bucay","Bucay",,,,,
"1t","Teresita","Teresita",,,,,
"1u","Adelina","Adelina",,,,,
"1v","Lolita","Lolita",,,,,
"1w","Martínez","Martínez",,,,,
"1x","San Rafael","San Rafael",,,,,
"1y","Nuquez","Nuquez",,,,,
"1z","Barraganetal","Barraganetal",,,,,
"20","Rocafuerte","Rocafuerte",,,,,
"21","Puente Limón","Puente Limón",,,,,
"22","Supaypungo","Supaypungo",,,,,
"23","Pérez","Pérez",,,,,
"24","Naranjito","Naranjito",,,,,
"25","Conducta","Conducta",,,,,
"26","Venecia","Venecia",,,,,
"27","San Miguel","San Miguel",,,,,
"28","Zea","Zea",,,,,
"29","Milagro","Milagro",,,,,
"2a","Valdez","Valdez",,,,,
"2b","Yaguachi","Yaguachi",,,,,
"2c","Casiguaña","Casiguaña",,,,,
"2d","El Recreo","El Recreo",,,,,
"2e","Durán","Durán",,,,,
