"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","深川","Fukagawa","0","","","ja86187",""
"02","北一已","Kita-Ichiyan","3.8","","","ja124490",""
"03","秩父別","Chippubetsu","8.8","","","ja124492",""
"04","北秩父別","Kita-Chippubetsu","11.2","","","ja124496",""
"05","石狩沼田","Ishikari-Numata","14.4","","","ja124508",""
"06","真布","Mappu","17.8","","","ja124512",""
"07","恵比島","Ebishima","20.7","","","ja103248",""
"08","峠下","Togeshita","28.3","","","ja107164",""
"09","幌糠","Horonuka","34.5","","","ja114112",""
"0a","藤山","Fujiyama","40","","","ja124535",""
"0b","大和田","Owada","44.2","","","ja35300",""
"0c","留萌","Rumoi","50.1","","","ja103138",""
