"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","滝川","Takikawa",,,,,
"02","東滝川","Higashi-Takikawa",,,,,
"03","赤平","Akabira",,,,,
"04","茂尻","Moshiri",,,,,
"05","平岸","Hiragishi",,,,,
"06","芦別","Ashibetsu",,,,,
"07","上芦別","Kami-Ashibetsu",,,,,
"08","野花南","Nokanan",,,,,
"09","島ノ下","Shimanoshita",,,,,
"0a","富良野","Furano",,,,,
"0b","布部","Nunobe",,,,,
"0c","山部","Yamabe",,,,,
"0d","下金山","Shimo-Kanayama",,,,,
"0e","金山","Kanayama",,,,,
"0f","東鹿越","Higashi-Shikagoe",,,,,
"0g","幾寅","Ikutora",,,,,
"0h","落合","Ochiai",,,,,
"0i","新得","Shintoku",,,,,
"0j","十勝清水","Tokachi-Shimizu",,,,,
"0k","御影","Mikage",,,,,
"0l","芽室","Memuro",,,,,
"0m","大成","Taisei",,,,,
"0n","西帯広","Nishi-Obihiro",,,,,
"0o","柏林台","Hakurindai",,,,,
"0p","帯広","Obihiro",,,,,
"0q","札内","Satsunai",,,,,
"0r","幕別","Makubetsu",,,,,
"0s","利別","Toshibetsu",,,,,
"0t","池田","Ikeda",,,,,
"0u","十弗","Tofutsu",,,,,
"0v","豊頃","Toyokoro",,,,,
"0w","新吉野","Shin-Yoshino",,,,,
"0x","浦幌","Urahoro",,,,,
"0y","厚内","Atsunai",,,,,
"0z","音別","Onbetsu",,,,,
"10","白糠","Shiranuka",,,,,
"11","西庶路","Nishi-Shoro",,,,,
"12","庶路","Shoro",,,,,
"13","大楽毛","Otanoshike",,,,,
"14","新大楽毛","Shin-Otanoshike",,,,,
"15","新富士","Shin-Fuji",,,,,
"16","釧路","Kushiro",,,,,
"17","東釧路","Higashi-Kushiro",,,,,
"18","武佐","Musa",,,,,
"19","別保","Beppo",,,,,
"1a","上尾幌","Kami-Oboro",,,,,
"1b","尾幌","Oboro",,,,,
"1c","門静","Monshizu",,,,,
"1d","厚岸","Akkeshi",,,,,
"1e","糸魚沢","Itoizawa",,,,,
"1f","茶内","Chanai",,,,,
"1g","浜中","Hamanaka",,,,,
"1h","姉別","Anebetsu",,,,,
"1i","厚床","Attoko",,,,,
"1j","別当賀","Bettoga",,,,,
"1k","落石","Ochiishi",,,,,
"1l","昆布盛","Konbumori",,,,,
"1m","西和田","Nishi-Wada",,,,,
"1n","東根室","Higashi-Nemuro",,,,,
"1o","根室","Nemuro",,,,,
