"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","旭川","Asahikawa",,,,,
"02","神楽岡","Kaguraoka",,,,,
"03","緑が丘","Midorigaoka",,,,,
"04","西御料","Nishi-Goryo",,,,,
"05","西瑞穂","Nishi-Mizuho",,,,,
"06","西神楽","Nishi-Kagura",,,,,
"07","西聖和","Nishi-Seiwa",,,,,
"08","千代ヶ岡","Chiyogaoka",,,,,
"09","北美瑛","Kita-Biei",,,,,
"0a","美瑛","Biei",,,,,
"0b","美馬牛","Bibaushi",,,,,
"0c","上富良野","Kami-Furano",,,,,
"0d","西中","Nishinaka",,,,,
"0e","ラベンダー畑","Lavender Farm",,,,,
"0f","中富良野","Naka-Furano",,,,,
"0g","鹿討","Shikauchi",,,,,
"0h","学田","Gakuden",,,,,
"0i","富良野","Furano",,,,,
