"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","赤羽","Akabane","0","","","ja11197",""
"02","北赤羽","Kita-Akabane","1.5","","","ja24037",""
"03","浮間舟渡","Ukima-Funado","3.1","","","ja80605",""
"04","戸田公園","Toda-Koen","5.5","","","ja44710",""
"05","戸田","Toda","6.8","","","ja22676",""
"06","北戸田","Kita-Toda","8.2","","","ja65090",""
"07","武蔵浦和","Musashi-Urawa","10.6","","","ja14094",""
"08","中浦和","Naka-Urawa","11.8","","","ja65069",""
"09","南与野","Minami-Yono","13.5","","","ja14093",""
"0a","与野本町","Yonohommachi","15.1","","","ja64725",""
"0b","北与野","Kita-Yono","16.2","","","ja80594",""
"0c","大宮","Omiya","18","","","ja18117",""
