"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","大宮","Omiya","0","","","ja18117",""
"02","日進","Nisshin","3.7","","","ja67746",""
"03","西大宮","Nishi-Omiya","6.3","","","ja330481",""
"04","指扇","Sashiogi","7.7","","","ja80274",""
"05","南古谷","Minami-Furuya","12.4","","","ja80275",""
"06","川越","Kawagoe","16.1","","","ja12059",""
"07","川越","Kawagoe","16.1","","","ja12059",""
"08","西川越","Nishi-Kawagoe","18.7","","","ja80133",""
"09","的場","Matoba","20.9","","","ja16623",""
"0a","笠幡","Kasahata","23.8","","","ja80277",""
"0b","武蔵高萩","Musashi-Takahagi","27","","","ja67371",""
"0c","高麗川","Komagawa","30.6","","","ja67369",""
